generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NodeHeightSlideBumpSwapScaler	0.538479	4632	3970	7	0.105879	
RootHeightScaler	0.548574	9944	8183	1	0.0707023	
SplitLumpNodesRevJumpSampler	0.0338004	193	5517	4.66667	1	
SplitLumpNodesRevJumpSampler	0.046861	262	5329	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0125067	70	5527	4.66667	100	
TreeScaler	0.555462	661	529	1	0.0502254	
generation 7000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00442478	44	9900	7	none	
NeighborHeightNodeSwap	0.00543916	54	9874	7	none	
GlobalHeightSizeMixer	0.422505	597	816	1	0.0483245	
GlobalHeightSizeRateScaler	0.479082	710	772	1	0.0403143	
GlobalNodeHeightDirichletOperator	0.382518	8109	13090	1	0.000193128	
GlobalPopSizeScaler	0.49928	693	695	1	0.0712983	
NodeHeightDirichletOperator	0.689165	6831	3081	7	0.0102091	
NodeHeightMover	0.32369	3211	6709	7	0.000417854	
NodeHeightScaler	0.535547	5386	4671	7	0.103817	
NodeHeightSlideBumpScaler	0.540287	5351	4553	7	0.106277	
NodeHeightSlideBumpSwapScaler	0.536756	5374	4638	7	0.1071	
RootHeightScaler	0.546525	11559	9591	1	0.0717099	
SplitLumpNodesRevJumpSampler	0.0341029	226	6401	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0460787	302	6252	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0117881	77	6455	4.66667	100	
TreeScaler	0.54578	763	635	1	0.0505594	
generation 8000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00415635	47	11261	7	none	
NeighborHeightNodeSwap	0.00492438	56	11316	7	none	
GlobalHeightSizeMixer	0.427424	692	927	1	0.0482633	
GlobalHeightSizeRateScaler	0.467301	786	896	1	0.0399911	
GlobalNodeHeightDirichletOperator	0.384273	9324	14940	1	0.000191899	
GlobalPopSizeScaler	0.488502	786	823	1	0.0713126	
NodeHeightDirichletOperator	0.683167	7715	3578	7	0.0104844	
NodeHeightMover	0.328221	3724	7622	7	0.000413207	
NodeHeightScaler	0.532579	6122	5373	7	0.104803	
NodeHeightSlideBumpScaler	0.536254	6072	5251	7	0.107281	
NodeHeightSlideBumpSwapScaler	0.530816	6072	5367	7	0.107815	
RootHeightScaler	0.542201	13137	11092	1	0.0725151	
SplitLumpNodesRevJumpSampler	0.0332763	253	7350	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0453518	341	7178	4.66667	10	
SplitLumpNodesRevJumpSampler	0.011132	83	7373	4.66667	100	
TreeScaler	0.53484	852	741	1	0.0508596	
generation 9000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00409901	52	12634	7	none	
NeighborHeightNodeSwap	0.00508369	65	12721	7	none	
GlobalHeightSizeMixer	0.430872	776	1025	1	0.048424	
GlobalHeightSizeRateScaler	0.465278	871	1001	1	0.039928	
GlobalNodeHeightDirichletOperator	0.386441	10568	16779	1	0.000190904	
GlobalPopSizeScaler	0.484496	875	931	1	0.0714912	
NodeHeightDirichletOperator	0.681468	8671	4053	7	0.0107532	
NodeHeightMover	0.331031	4217	8522	7	0.000408799	
NodeHeightScaler	0.530034	6865	6087	7	0.105724	
NodeHeightSlideBumpScaler	0.533386	6774	5926	7	0.10818	
NodeHeightSlideBumpSwapScaler	0.526503	6804	6119	7	0.108467	
RootHeightScaler	0.538715	14722	12606	1	0.0730855	
SplitLumpNodesRevJumpSampler	0.0329247	282	8283	4.66667	1	
SplitLumpNodesRevJumpSampler	0.04609	389	8051	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0110928	94	8380	4.66667	100	
TreeScaler	0.532338	963	846	1	0.0513322	
generation 10000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00389905	55	14051	7	none	
NeighborHeightNodeSwap	0.00477394	68	14176	7	none	
GlobalHeightSizeMixer	0.429497	862	1145	1	0.0483153	
GlobalHeightSizeRateScaler	0.469719	985	1112	1	0.0400976	
GlobalNodeHeightDirichletOperator	0.3866	11760	18659	1	0.000189893	
GlobalPopSizeScaler	0.481353	968	1043	1	0.0717384	
NodeHeightDirichletOperator	0.676111	9569	4584	7	0.0109763	
NodeHeightMover	0.334842	4734	9404	7	0.000405657	
NodeHeightScaler	0.52839	7603	6786	7	0.106536	
NodeHeightSlideBumpScaler	0.531865	7486	6589	7	0.109131	
NodeHeightSlideBumpSwapScaler	0.523414	7500	6829	7	0.109059	
RootHeightScaler	0.53604	16264	14077	1	0.0736096	
SplitLumpNodesRevJumpSampler	0.0338662	322	9186	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0457343	431	8993	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0107641	101	9282	4.66667	100	
TreeScaler	0.525	1050	950	1	0.0513924	
