generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_woodhousii	pop_size_nebulifer	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
0	-89772.363463729358	11.5493540237748853	1	1	1	0.00410136597006797912	1	0.5	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001
10	-87439.7732078562694	39.4768153891429137	1	1	6	0.00431070576605859478	1	0.5	0.00055264444032609029	0.00055264444032609029	0.00055264444032609029	0.00055264444032609029	0.00055264444032609029	0.00055264444032609029	0.00055264444032609029	0.00055264444032609029	0.00055264444032609029	0.00055264444032609029	0.00055264444032609029	0.00055264444032609029	0.00055264444032609029	0.00055264444032609029
20	-86315.5794913198333	39.3444559004705852	1	1	6	0.00471685660900659012	1	0.5	0.000557324627957463473	0.000557324627957463473	0.000557324627957463473	0.000557324627957463473	0.000557324627957463473	0.000557324627957463473	0.000557324627957463473	0.000557324627957463473	0.000557324627957463473	0.000557324627957463473	0.000557324627957463473	0.000557324627957463473	0.000557324627957463473	0.000557324627957463473
30	-85701.4619822280947	56.1315715925681431	1	1	9	0.0054840720634010548	1	0.5	0.000561076331810174151	0.000561076331810174151	0.000561076331810174151	0.000561076331810174151	0.000561076331810174151	0.000561076331810174151	0.000561076331810174151	0.000561076331810174151	0.000561076331810174151	0.000561076331810174151	0.000561076331810174151	0.000561076331810174151	0.000561076331810174151	0.000561076331810174151
40	-85066.6372542549652	62.3320911728503688	1	1	10	0.00680385248648082436	1	0.5	0.000581463081336224159	0.000581463081336224159	0.000581463081336224159	0.000581463081336224159	0.000581463081336224159	0.000581463081336224159	0.000581463081336224159	0.000581463081336224159	0.000581463081336224159	0.000581463081336224159	0.000581463081336224159	0.000581463081336224159	0.000581463081336224159	0.000581463081336224159
50	-84777.9130105892837	61.7033489832069009	1	1	10	0.00769424298056312767	1	0.5	0.000600585313110485507	0.000600585313110485507	0.000600585313110485507	0.000600585313110485507	0.000600585313110485507	0.000600585313110485507	0.000600585313110485507	0.000600585313110485507	0.000600585313110485507	0.000600585313110485507	0.000600585313110485507	0.000600585313110485507	0.000600585313110485507	0.000600585313110485507
60	-84431.6659280804743	55.8635671765152111	1	1	9	0.00902803924891690431	1	0.5	0.000609798806363440475	0.000609798806363440475	0.000609798806363440475	0.000609798806363440475	0.000609798806363440475	0.000609798806363440475	0.000609798806363440475	0.000609798806363440475	0.000609798806363440475	0.000609798806363440475	0.000609798806363440475	0.000609798806363440475	0.000609798806363440475	0.000609798806363440475
70	-84035.3242722038412	61.6885014123016049	1	1	10	0.00944295191366562731	1	0.5	0.000643273809977249421	0.000643273809977249421	0.000643273809977249421	0.000643273809977249421	0.000643273809977249421	0.000643273809977249421	0.000643273809977249421	0.000643273809977249421	0.000643273809977249421	0.000643273809977249421	0.000643273809977249421	0.000643273809977249421	0.000643273809977249421	0.000643273809977249421
80	-83686.5142910793365	50.1307155546535625	1	1	8	0.0106858132122546554	1	0.5	0.000658864752053035189	0.000658864752053035189	0.000658864752053035189	0.000658864752053035189	0.000658864752053035189	0.000658864752053035189	0.000658864752053035189	0.000658864752053035189	0.000658864752053035189	0.000658864752053035189	0.000658864752053035189	0.000658864752053035189	0.000658864752053035189	0.000658864752053035189
90	-83578.7107875924121	50.1791599226201228	1	1	8	0.0108072423101283465	1	0.5	0.000680540517912112705	0.000680540517912112705	0.000680540517912112705	0.000680540517912112705	0.000680540517912112705	0.000680540517912112705	0.000680540517912112705	0.000680540517912112705	0.000680540517912112705	0.000680540517912112705	0.000680540517912112705	0.000680540517912112705	0.000680540517912112705	0.000680540517912112705
100	-83485.0617701813171	61.3971969889916949	1	1	10	0.0107782466949317215	1	0.5	0.000749458627862044304	0.000749458627862044304	0.000749458627862044304	0.000749458627862044304	0.000749458627862044304	0.000749458627862044304	0.000749458627862044304	0.000749458627862044304	0.000749458627862044304	0.000749458627862044304	0.000749458627862044304	0.000749458627862044304	0.000749458627862044304	0.000749458627862044304
110	-83447.1625788935344	71.9002612431889645	1	1	12	0.0108831626910737399	1	0.5	0.000751445692050005951	0.000751445692050005951	0.000751445692050005951	0.000751445692050005951	0.000751445692050005951	0.000751445692050005951	0.000751445692050005951	0.000751445692050005951	0.000751445692050005951	0.000751445692050005951	0.000751445692050005951	0.000751445692050005951	0.000751445692050005951	0.000751445692050005951
120	-83436.7611635654175	66.5070603728620426	1	1	11	0.0110989757353540941	1	0.5	0.000760193081311620568	0.000760193081311620568	0.000760193081311620568	0.000760193081311620568	0.000760193081311620568	0.000760193081311620568	0.000760193081311620568	0.000760193081311620568	0.000760193081311620568	0.000760193081311620568	0.000760193081311620568	0.000760193081311620568	0.000760193081311620568	0.000760193081311620568
130	-83421.7676583659631	66.3147872739456545	1	1	11	0.0115210117439521718	1	0.5	0.00078267678086722174	0.00078267678086722174	0.00078267678086722174	0.00078267678086722174	0.00078267678086722174	0.00078267678086722174	0.00078267678086722174	0.00078267678086722174	0.00078267678086722174	0.00078267678086722174	0.00078267678086722174	0.00078267678086722174	0.00078267678086722174	0.00078267678086722174
140	-83413.464442003431	66.1246765074230183	1	1	11	0.0106637362399499627	1	0.5	0.000793884541479353777	0.000793884541479353777	0.000793884541479353777	0.000793884541479353777	0.000793884541479353777	0.000793884541479353777	0.000793884541479353777	0.000793884541479353777	0.000793884541479353777	0.000793884541479353777	0.000793884541479353777	0.000793884541479353777	0.000793884541479353777	0.000793884541479353777
150	-83398.5647029676911	61.0304456862673916	1	1	10	0.0107121098354240208	1	0.5	0.000821232218302291798	0.000821232218302291798	0.000821232218302291798	0.000821232218302291798	0.000821232218302291798	0.000821232218302291798	0.000821232218302291798	0.000821232218302291798	0.000821232218302291798	0.000821232218302291798	0.000821232218302291798	0.000821232218302291798	0.000821232218302291798	0.000821232218302291798
160	-83375.9598105284531	60.3949373887117034	1	1	10	0.0111172718930987006	1	0.5	0.000890401869721417689	0.000890401869721417689	0.000890401869721417689	0.000890401869721417689	0.000890401869721417689	0.000890401869721417689	0.000890401869721417689	0.000890401869721417689	0.000890401869721417689	0.000890401869721417689	0.000890401869721417689	0.000890401869721417689	0.000890401869721417689	0.000890401869721417689
170	-83366.3090532989881	64.8627089997857809	1	1	11	0.0114062096969062728	1	0.5	0.000942529872149740775	0.000942529872149740775	0.000942529872149740775	0.000942529872149740775	0.000942529872149740775	0.000942529872149740775	0.000942529872149740775	0.000942529872149740775	0.000942529872149740775	0.000942529872149740775	0.000942529872149740775	0.000942529872149740775	0.000942529872149740775	0.000942529872149740775
180	-83374.6177363227471	59.5977755815087278	1	1	10	0.0119260227978304264	1	0.5	0.000936297006642167065	0.000936297006642167065	0.000936297006642167065	0.000936297006642167065	0.000936297006642167065	0.000936297006642167065	0.000936297006642167065	0.000936297006642167065	0.000936297006642167065	0.000936297006642167065	0.000936297006642167065	0.000936297006642167065	0.000936297006642167065	0.000936297006642167065
190	-83372.504140984398	59.8113072342381713	1	1	10	0.0108259782325327673	1	0.5	0.000947131291735434891	0.000947131291735434891	0.000947131291735434891	0.000947131291735434891	0.000947131291735434891	0.000947131291735434891	0.000947131291735434891	0.000947131291735434891	0.000947131291735434891	0.000947131291735434891	0.000947131291735434891	0.000947131291735434891	0.000947131291735434891	0.000947131291735434891
200	-83372.706612470909	59.7355075939101781	1	1	10	0.0112180770511846988	1	0.5	0.000916400129038815706	0.000916400129038815706	0.000916400129038815706	0.000916400129038815706	0.000916400129038815706	0.000916400129038815706	0.000916400129038815706	0.000916400129038815706	0.000916400129038815706	0.000916400129038815706	0.000916400129038815706	0.000916400129038815706	0.000916400129038815706	0.000916400129038815706
210	-83371.7825515114673	59.929006438403853	1	1	10	0.0116842679973520186	1	0.5	0.000931348742959326576	0.000931348742959326576	0.000931348742959326576	0.000931348742959326576	0.000931348742959326576	0.000931348742959326576	0.000931348742959326576	0.000931348742959326576	0.000931348742959326576	0.000931348742959326576	0.000931348742959326576	0.000931348742959326576	0.000931348742959326576	0.000931348742959326576
220	-83370.0866227490915	59.9000885148989326	1	1	10	0.0109994919233882878	1	0.5	0.000932117361194080172	0.000932117361194080172	0.000932117361194080172	0.000932117361194080172	0.000932117361194080172	0.000932117361194080172	0.000932117361194080172	0.000932117361194080172	0.000932117361194080172	0.000932117361194080172	0.000932117361194080172	0.000932117361194080172	0.000932117361194080172	0.000932117361194080172
230	-83373.6384381583048	59.7486524405794199	1	1	10	0.0111903065380393688	1	0.5	0.000939463833063327062	0.000939463833063327062	0.000939463833063327062	0.000939463833063327062	0.000939463833063327062	0.000939463833063327062	0.000939463833063327062	0.000939463833063327062	0.000939463833063327062	0.000939463833063327062	0.000939463833063327062	0.000939463833063327062	0.000939463833063327062	0.000939463833063327062
240	-83372.2193410806503	59.8228273161778503	1	1	10	0.011731847182609452	1	0.5	0.000911640073540182319	0.000911640073540182319	0.000911640073540182319	0.000911640073540182319	0.000911640073540182319	0.000911640073540182319	0.000911640073540182319	0.000911640073540182319	0.000911640073540182319	0.000911640073540182319	0.000911640073540182319	0.000911640073540182319	0.000911640073540182319	0.000911640073540182319
250	-83371.8554044006014	54.476979657352544	1	1	9	0.0115254995133942245	1	0.5	0.000959142411720756189	0.000959142411720756189	0.000959142411720756189	0.000959142411720756189	0.000959142411720756189	0.000959142411720756189	0.000959142411720756189	0.000959142411720756189	0.000959142411720756189	0.000959142411720756189	0.000959142411720756189	0.000959142411720756189	0.000959142411720756189	0.000959142411720756189
260	-83373.0616291745537	54.8598512513155327	1	1	9	0.01101731662396911	1	0.5	0.000959106059367297579	0.000959106059367297579	0.000959106059367297579	0.000959106059367297579	0.000959106059367297579	0.000959106059367297579	0.000959106059367297579	0.000959106059367297579	0.000959106059367297579	0.000959106059367297579	0.000959106059367297579	0.000959106059367297579	0.000959106059367297579	0.000959106059367297579
270	-83371.5763183059753	54.9906423822598356	1	1	9	0.0111740210128685458	1	0.5	0.000928372210981942428	0.000928372210981942428	0.000928372210981942428	0.000928372210981942428	0.000928372210981942428	0.000928372210981942428	0.000928372210981942428	0.000928372210981942428	0.000928372210981942428	0.000928372210981942428	0.000928372210981942428	0.000928372210981942428	0.000928372210981942428	0.000928372210981942428
