generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00889548	12	1337	6.5	none	
NeighborHeightNodeSwap	0.011169	15	1328	6.5	none	
GlobalHeightSizeMixer	0.47619	100	110	1	0.0300873	
GlobalHeightSizeRateScaler	0.529412	108	96	1	0.0272711	
GlobalNodeHeightDirichletOperator	0.358613	993	1776	1	0.000226154	
GlobalPopSizeScaler	0.476684	92	101	1	0.0429216	
NodeHeightDirichletOperator	0.706505	934	388	6.5	0.00469075	
NodeHeightMover	0.17062	223	1084	6.5	0.00050148	
NodeHeightScaler	0.590545	737	511	6.5	0.076742	
NodeHeightSlideBumpScaler	0.625284	826	495	6.5	0.0681886	
NodeHeightSlideBumpSwapScaler	0.614748	817	512	6.5	0.0701994	
RootHeightScaler	0.633034	1763	1022	1	0.0531484	
SplitLumpNodesRevJumpSampler	0.0434311	40	881	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0351474	31	851	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0127226	10	776	4.33333	100	
TreeScaler	0.626263	124	74	1	0.0392515	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00450789	12	2650	6.5	none	
NeighborHeightNodeSwap	0.00617761	16	2574	6.5	none	
GlobalHeightSizeMixer	0.44802	181	223	1	0.0301486	
GlobalHeightSizeRateScaler	0.488038	204	214	1	0.0269061	
GlobalNodeHeightDirichletOperator	0.351156	1990	3677	1	0.0002107	
GlobalPopSizeScaler	0.501285	195	194	1	0.0468598	
NodeHeightDirichletOperator	0.696958	1833	797	6.5	0.00560443	
NodeHeightMover	0.202096	540	2132	6.5	0.000429971	
NodeHeightScaler	0.572113	1432	1071	6.5	0.0827569	
NodeHeightSlideBumpScaler	0.598848	1560	1045	6.5	0.0751926	
NodeHeightSlideBumpSwapScaler	0.587676	1545	1084	6.5	0.0766086	
RootHeightScaler	0.61117	3469	2207	1	0.059493	
SplitLumpNodesRevJumpSampler	0.0341649	63	1781	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0315965	57	1747	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0111386	18	1598	4.33333	100	
TreeScaler	0.590686	241	167	1	0.043441	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00303951	12	3936	6.5	none	
NeighborHeightNodeSwap	0.00489565	19	3862	6.5	none	
