generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NodeHeightScaler	0.557209	4344	3452	6.5	0.0877393	
NodeHeightSlideBumpScaler	0.543285	4211	3540	6.5	0.0953408	
NodeHeightSlideBumpSwapScaler	0.54651	4377	3632	6.5	0.0912428	
RootHeightScaler	0.538362	9157	7852	1	0.0748278	
SplitLumpNodesRevJumpSampler	0.0183226	97	5197	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0308387	164	5154	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00978699	51	5160	4.33333	100	
TreeScaler	0.501667	602	598	1	0.0465704	
generation 7000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00219611	20	9087	6.5	none	
NeighborHeightNodeSwap	0.00202645	19	9357	6.5	none	
GlobalHeightSizeMixer	0.406073	575	841	1	0.0307125	
GlobalHeightSizeRateScaler	0.487894	665	698	1	0.0321599	
GlobalNodeHeightDirichletOperator	0.355218	7039	12777	1	0.000205266	
GlobalPopSizeScaler	0.454743	628	753	1	0.0516578	
NodeHeightDirichletOperator	0.654397	5938	3136	6.5	0.00883608	
NodeHeightMover	0.323851	2960	6180	6.5	0.000264766	
NodeHeightScaler	0.547999	5012	4134	6.5	0.088548	
NodeHeightSlideBumpScaler	0.537006	4883	4210	6.5	0.0962337	
NodeHeightSlideBumpSwapScaler	0.539074	5008	4282	6.5	0.0921175	
RootHeightScaler	0.531778	10534	9275	1	0.0754606	
SplitLumpNodesRevJumpSampler	0.0174701	108	6074	4.33333	1	
SplitLumpNodesRevJumpSampler	0.029945	185	5993	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00939354	57	6011	4.33333	100	
TreeScaler	0.492176	692	714	1	0.0467916	
generation 8000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0021213	22	10349	6.5	none	
NeighborHeightNodeSwap	0.00206476	22	10633	6.5	none	
GlobalHeightSizeMixer	0.3975	636	964	1	0.0302867	
GlobalHeightSizeRateScaler	0.479691	744	807	1	0.0319976	
GlobalNodeHeightDirichletOperator	0.358046	8128	14573	1	0.000203337	
