generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_woodhousii	pop_size_nebulifer	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
0	-75989.6761988035869	11.6502253828496514	1	1	1	0.00309265237932032167	1	0.5	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001
10	-75046.1465408985096	34.5371525301714684	1	1	5	0.00362293320911079471	1	0.5	0.000533841108206246765	0.000533841108206246765	0.000533841108206246765	0.000533841108206246765	0.000533841108206246765	0.000533841108206246765	0.000533841108206246765	0.000533841108206246765	0.000533841108206246765	0.000533841108206246765	0.000533841108206246765	0.000533841108206246765	0.000533841108206246765	0.000533841108206246765
20	-73637.4196339826303	51.0704357096725587	1	1	8	0.00411156037253513403	1	0.5	0.000562307170955058657	0.000562307170955058657	0.000562307170955058657	0.000562307170955058657	0.000562307170955058657	0.000562307170955058657	0.000562307170955058657	0.000562307170955058657	0.000562307170955058657	0.000562307170955058657	0.000562307170955058657	0.000562307170955058657	0.000562307170955058657	0.000562307170955058657
30	-73073.4750216568355	45.4266428260452315	1	1	7	0.00440776106386209059	1	0.5	0.000603057648392256278	0.000603057648392256278	0.000603057648392256278	0.000603057648392256278	0.000603057648392256278	0.000603057648392256278	0.000603057648392256278	0.000603057648392256278	0.000603057648392256278	0.000603057648392256278	0.000603057648392256278	0.000603057648392256278	0.000603057648392256278	0.000603057648392256278
40	-72904.2864350963064	49.6443711535553049	1	1	8	0.00530471280761109481	1	0.5	0.000624567886723203895	0.000624567886723203895	0.000624567886723203895	0.000624567886723203895	0.000624567886723203895	0.000624567886723203895	0.000624567886723203895	0.000624567886723203895	0.000624567886723203895	0.000624567886723203895	0.000624567886723203895	0.000624567886723203895	0.000624567886723203895	0.000624567886723203895
50	-72303.4483657864621	49.6603812127941424	1	1	8	0.005956180551611308	1	0.5	0.000643812800898544433	0.000643812800898544433	0.000643812800898544433	0.000643812800898544433	0.000643812800898544433	0.000643812800898544433	0.000643812800898544433	0.000643812800898544433	0.000643812800898544433	0.000643812800898544433	0.000643812800898544433	0.000643812800898544433	0.000643812800898544433	0.000643812800898544433
60	-72163.9395734874852	55.1622279765196026	1	1	9	0.00631169798958717589	1	0.5	0.000645846471608173896	0.000645846471608173896	0.000645846471608173896	0.000645846471608173896	0.000645846471608173896	0.000645846471608173896	0.000645846471608173896	0.000645846471608173896	0.000645846471608173896	0.000645846471608173896	0.000645846471608173896	0.000645846471608173896	0.000645846471608173896	0.000645846471608173896
70	-70858.9925519037206	55.3704958125052826	1	1	9	0.00758617816303771945	1	0.5	0.000687214166906490809	0.000687214166906490809	0.000687214166906490809	0.000687214166906490809	0.000687214166906490809	0.000687214166906490809	0.000687214166906490809	0.000687214166906490809	0.000687214166906490809	0.000687214166906490809	0.000687214166906490809	0.000687214166906490809	0.000687214166906490809	0.000687214166906490809
80	-70490.2794342270499	50.9739052458766153	1	1	8	0.00867761993253219656	1	0.5	0.000697456718894419198	0.000697456718894419198	0.000697456718894419198	0.000697456718894419198	0.000697456718894419198	0.000697456718894419198	0.000697456718894419198	0.000697456718894419198	0.000697456718894419198	0.000697456718894419198	0.000697456718894419198	0.000697456718894419198	0.000697456718894419198	0.000697456718894419198
90	-70404.4091799751768	55.6574161380295394	1	1	9	0.0094871137706484341	1	0.5	0.000683469447172030333	0.000683469447172030333	0.000683469447172030333	0.000683469447172030333	0.000683469447172030333	0.000683469447172030333	0.000683469447172030333	0.000683469447172030333	0.000683469447172030333	0.000683469447172030333	0.000683469447172030333	0.000683469447172030333	0.000683469447172030333	0.000683469447172030333
