aht2544	quercicus
hera10484	marina
hera14196	retiformis
hera14926	microscaphus
kac060	speciosus
kac062	punctatus
kac063	speciosus
kac064	speciosus
kac243	nebulifer
msb100793	microscaphus
msb100913	microscaphus
msb104677	cognatus
msb104681	hemiophrys
msb92689	baxteri
msb92691	baxteri
msb92692	baxteri
msb96528	debilis
msb98065	cognatus
utep21284	debilis
utep21286	speciosus
utep21724	speciosus
utep21881	cognatus
utep21884	speciosus
utep21885	speciosus
