generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00904977	12	1314	6.5	none	
NeighborHeightNodeSwap	0.00862069	11	1265	6.5	none	
GlobalHeightSizeMixer	0.446078	91	113	1	0.0305284	
GlobalHeightSizeRateScaler	0.623762	126	76	1	0.0246529	
GlobalNodeHeightDirichletOperator	0.35847	984	1761	1	0.00031269	
GlobalPopSizeScaler	0.471698	100	112	1	0.0495309	
NodeHeightDirichletOperator	0.746797	991	336	6.5	0.00363786	
NodeHeightMover	0.184349	245	1084	6.5	0.000540761	
NodeHeightScaler	0.679144	889	420	6.5	0.061845	
NodeHeightSlideBumpScaler	0.658257	861	447	6.5	0.0647768	
NodeHeightSlideBumpSwapScaler	0.66062	874	449	6.5	0.0611617	
RootHeightScaler	0.515501	1430	1344	1	0.0430549	
SplitLumpNodesRevJumpSampler	0.0562874	47	788	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0419026	37	846	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0121065	10	816	4.33333	100	
TreeScaler	0.621359	128	78	1	0.0448304	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00464217	12	2573	6.5	none	
NeighborHeightNodeSwap	0.00427517	11	2562	6.5	none	
GlobalHeightSizeMixer	0.420561	180	248	1	0.0296199	
GlobalHeightSizeRateScaler	0.564356	228	176	1	0.0259555	
GlobalNodeHeightDirichletOperator	0.343863	1905	3635	1	0.000288948	
GlobalPopSizeScaler	0.46283	193	224	1	0.0502497	
NodeHeightDirichletOperator	0.73283	1942	708	6.5	0.00450151	
NodeHeightMover	0.211388	568	2119	6.5	0.00046758	
NodeHeightScaler	0.646585	1685	921	6.5	0.0693102	
NodeHeightSlideBumpScaler	0.612657	1607	1016	6.5	0.0715333	
NodeHeightSlideBumpSwapScaler	0.63595	1677	960	6.5	0.068593	
RootHeightScaler	0.590608	3295	2284	1	0.0502027	
SplitLumpNodesRevJumpSampler	0.0393604	64	1562	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0322034	57	1713	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00806916	14	1721	4.33333	100	
TreeScaler	0.556391	222	177	1	0.046931	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00304414	12	3930	6.5	none	
NeighborHeightNodeSwap	0.00281762	11	3893	6.5	none	
GlobalHeightSizeMixer	0.423323	265	361	1	0.029697	
GlobalHeightSizeRateScaler	0.546552	317	263	1	0.0266117	
GlobalNodeHeightDirichletOperator	0.34994	2929	5441	1	0.000279623	
GlobalPopSizeScaler	0.454545	275	330	1	0.0499829	
NodeHeightDirichletOperator	0.720971	2850	1103	6.5	0.00500106	
NodeHeightMover	0.225556	902	3097	6.5	0.000434473	
NodeHeightScaler	0.619729	2425	1488	6.5	0.0728326	
NodeHeightSlideBumpScaler	0.598577	2356	1580	6.5	0.0754056	
NodeHeightSlideBumpSwapScaler	0.621394	2434	1483	6.5	0.0727495	
RootHeightScaler	0.601118	5053	3353	1	0.054118	
SplitLumpNodesRevJumpSampler	0.0367647	90	2358	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0321135	86	2592	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00680787	18	2626	4.33333	100	
TreeScaler	0.538961	332	284	1	0.0479025	
generation 4000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00229314	12	5221	6.5	none	
NeighborHeightNodeSwap	0.00210768	11	5208	6.5	none	
GlobalHeightSizeMixer	0.426844	353	474	1	0.0297319	
GlobalHeightSizeRateScaler	0.528351	410	366	1	0.026784	
GlobalNodeHeightDirichletOperator	0.357067	4012	7224	1	0.000273559	
GlobalPopSizeScaler	0.446061	368	457	1	0.0501429	
NodeHeightDirichletOperator	0.716017	3782	1500	6.5	0.00539295	
NodeHeightMover	0.234783	1242	4048	6.5	0.000414441	
NodeHeightScaler	0.603376	3146	2068	6.5	0.075138	
