,Sample-id,ng/ul,1,2,3,4,5,
KAC,128A,177,7.85,15.7,23.55,31.4,39.25,
KAC,129A,177,7.85,15.7,23.55,31.4,39.25,
KAC,130A,75,2.75,5.5,8.25,11,13.75,
KAC,131A,203,9.15,18.3,27.45,36.6,45.75,
KAC,132A,89,3.45,6.9,10.35,13.8,17.25,
KAC,133A,219,9.95,19.9,29.85,39.8,49.75,
KAC,134A,122,5.1,10.2,15.3,20.4,25.5,
KAC,135A,185,8.25,16.5,24.75,33,41.25,
KAC,136A,47,1.35,2.7,4.05,5.4,6.75,
KAC,137A,153,6.65,13.3,19.95,26.6,33.25,
KAC,138A,79,2.95,5.9,8.85,11.8,14.75,
KAC,139A,78,2.9,5.8,8.7,11.6,14.5,
KAC,140A,103,4.15,8.3,12.45,16.6,20.75,
KAC,141A,49,1.45,2.9,4.35,5.8,7.25,
KAC,142A,164,7.2,14.4,21.6,28.8,36,
KAC,143A,125,5.25,10.5,15.75,21,26.25,
KAC,144A,92,3.6,7.2,10.8,14.4,18,
KAC,145A,121,5.05,10.1,15.15,20.2,25.25,
KAC,146A,313,14.65,29.3,43.95,58.6,73.25,
KAC,147A,119,4.95,9.9,14.85,19.8,24.75,
KAC,148A,421,20.05,40.1,60.15,80.2,100.25,
KAC,149A,299,13.95,27.9,41.85,55.8,69.75,
KAC,150A,130,5.5,11,16.5,22,27.5,
KAC,151A,187,8.35,16.7,25.05,33.4,41.75,
KAC,152A,74,2.7,5.4,8.1,10.8,13.5,
KAC,153A,110,4.5,9,13.5,18,22.5,
KAC,154A,47,1.35,2.7,4.05,5.4,6.75,
KAC,155A,144,6.2,12.4,18.6,24.8,31,
KAC,156A,26,0.3,0.6,0.9,1.2,1.5,
KAC,157A,58,1.9,3.8,5.7,7.6,9.5,
KAC,158A,123,5.15,10.3,15.45,20.6,25.75,
KAC,159A,219,9.95,19.9,29.85,39.8,49.75,
KAC,160A,110,4.5,9,13.5,18,22.5,
KAC,161A,9.5,-0.525,-1.05,-1.575,-2.1,-2.625,
KAC,162A,110,4.5,9,13.5,18,22.5,
KAC,163A,108,4.4,8.8,13.2,17.6,22,
KAC,164A,105,4.25,8.5,12.75,17,21.25,
KAC,165A,225,10.25,20.5,30.75,41,51.25,
KAC,2018-02-17-1,43,1.15,2.3,3.45,4.6,5.75,
KAC,2018-02-17-2,9,-0.55,-1.1,-1.65,-2.2,-2.75,
KAC,2018-02-17-3,27,0.35,0.7,1.05,1.4,1.75,
KAC,2018-02-17-4,41,1.05,2.1,3.15,4.2,5.25,
KAC,2018-02-17-5,41,1.05,2.1,3.15,4.2,5.25,
KAC,2018-02-17-6,14,-0.3,-0.6,-0.9,-1.2,-1.5,
KAC,2018-02-17-7,39,0.95,1.9,2.85,3.8,4.75,
KAC,2018-03-10-1,35,0.75,1.5,2.25,3,3.75,
KAC,2018-03-10-2,147,6.35,12.7,19.05,25.4,31.75,
KAC,2018-03-10-3,77,2.85,5.7,8.55,11.4,14.25,
KAC,2018-03-10-4,86,3.3,6.6,9.9,13.2,16.5,
KAC,2018-03-10-5,110,4.5,9,13.5,18,22.5,
KAC,2018-08-18-1,71,2.55,5.1,7.65,10.2,12.75,
KAC,2018-08-18-2,36,0.8,1.6,2.4,3.2,4,
KAC,2018-08-18-3,56,1.8,3.6,5.4,7.2,9,
KAC,2018-08-18-4,44,1.2,2.4,3.6,4.8,6,
KAC,2019-08-25-01,21,0.05,0.1,0.15,0.2,0.25,
KAC,2019-08-25-02,24,0.2,0.4,0.6,0.8,1,
T,1020,16,-0.2,-0.4,-0.6,-0.8,-1,
T,1030,133,5.65,11.3,16.95,22.6,28.25,
T,2004,65,2.25,4.5,6.75,9,11.25,
T,2040,57,1.85,3.7,5.55,7.4,9.25,
T,2043,46,1.3,2.6,3.9,5.2,6.5,
T,3040,77,2.85,5.7,8.55,11.4,14.25,
UTEP,18705,165,7.25,14.5,21.75,29,36.25,
UTEP,19941,344,16.2,32.4,48.6,64.8,81,
UTEP,19943,352,16.6,33.2,49.8,66.4,83,
UTEP,19947,171,7.55,15.1,22.65,30.2,37.75,
UTEP,20105,244,11.2,22.4,33.6,44.8,56,
UTEP,20482,288,13.4,26.8,40.2,53.6,67,
UTEP,20921,115,4.75,9.5,14.25,19,23.75,
UTEP,21284,128,5.4,10.8,16.2,21.6,27,
UTEP,21286,88,3.4,6.8,10.2,13.6,17,
UTEP,21724,84,3.2,6.4,9.6,12.8,16,
UTEP,21881,372,17.6,35.2,52.8,70.4,88,
UTEP,21884,186,8.3,16.6,24.9,33.2,41.5,
UTEP,21885,236,10.8,21.6,32.4,43.2,54,
UTEP,21886,248,11.4,22.8,34.2,45.6,57,
MSB,75646,64,2.2,4.4,6.6,8.8,11,
MSB,92689,16,-0.2,-0.4,-0.6,-0.8,-1,
MSB,92690,2.47,-0.8765,-1.753,-2.6295,-3.506,-4.3825,
MSB,92691,20,0,0,0,0,0,
MSB,92692,34,0.7,1.4,2.1,2.8,3.5,
MSB,96528,87,3.35,6.7,10.05,13.4,16.75,33.5
MSB,98058,126,5.3,10.6,15.9,21.2,26.5,
MSB,98065,124,5.2,10.4,15.6,20.8,26,
MSB,98144,2.62,-0.869,-1.738,-2.607,-3.476,-4.345,
MSB,100793,43,1.15,2.3,3.45,4.6,5.75,
MSB,100800,216,9.8,19.6,29.4,39.2,49,
MSB,100913,57,1.85,3.7,5.55,7.4,9.25,
MSB,104548,15,-0.25,-0.5,-0.75,-1,-1.25,
MSB,104570,23,0.15,0.3,0.45,0.6,0.75,
MSB,104571,29,0.45,0.9,1.35,1.8,2.25,
MSB,104608,21,0.05,0.1,0.15,0.2,0.25,
MSB,104644,61,2.05,4.1,6.15,8.2,10.25,
MSB,104677,73,2.65,5.3,7.95,10.6,13.25,
MSB,104681,197,8.85,17.7,26.55,35.4,44.25,
MSB,104731,31,0.55,1.1,1.65,2.2,2.75,
