plate_id,plate_index,row,column,id,sample_id,genus,species,rename,sex,latitude,longitude,year,month
plate1,43,D,7,KAC 094,kac094,Anaxyrus,americanus,kac094_americanus,m,33.064717,-86.474958,2019,2
plate1,44,D,8,KAC 095,kac095,Anaxyrus,americanus,kac095_americanus,m,33.064717,-86.474958,2019,2
plate1,45,D,9,KAC 096,kac096,Anaxyrus,americanus,kac096_americanus,m,33.064717,-86.474958,2019,2
plate1,46,D,10,KAC 097,kac097,Anaxyrus,americanus,kac097_americanus,f,33.064717,-86.474958,2019,2
plate1,47,D,11,KAC 098,kac098,Anaxyrus,americanus,kac098_americanus,f,33.025724,-86.467107,2019,2
plate1,48,D,12,KAC 099,kac099,Anaxyrus,americanus,kac099_americanus,f,33.025724,-86.467107,2019,2
plate1,49,E,1,KAC 100,kac100,Anaxyrus,terrestris,kac100_terrestris,m,32.923743,-86.671995,2019,2
plate1,50,E,2,KAC 101,kac101,Anaxyrus,americanus,kac101_americanus,f,33.032829,-86.459752,2019,2
plate1,51,E,3,KAC 102,kac102,Anaxyrus,terrestris,kac102_terrestris,m,32.945435,-86.557771,2019,2
plate1,52,E,4,KAC 103,kac103,Anaxyrus,terrestris,kac103_terrestris,f,32.94947,-86.526299,2019,2
plate1,53,E,5,KAC 104,kac104,Anaxyrus,terrestris,kac104_terrestris,f,32.94947,-86.526299,2019,2
plate1,54,E,6,KAC 105,kac105,Anaxyrus,americanus,kac105_americanus,f,33.042782,-86.453772,2019,2
plate1,55,E,7,KAC 106,kac106,Anaxyrus,americanus,kac106_americanus,f,33.004635,-86.49692,2019,2
plate1,56,E,8,KAC 107,kac107,Anaxyrus,americanus,kac107_americanus,f,33.014161,-86.384167,2019,2
plate1,57,E,9,KAC 108,kac108,Anaxyrus,terrestris,kac108_terrestris,m,32.940128,-86.540042,2019,2
plate1,58,E,10,KAC 109,kac109,Anaxyrus,terrestris,kac109_terrestris,m,32.941729,-86.557867,2019,2
plate1,59,E,11,KAC 110,kac110,Anaxyrus,americanus,kac110_americanus,m,33.030987,-86.409405,2019,2
plate1,60,E,12,KAC 111,kac111,Anaxyrus,americanus,kac111_americanus,m,33.005181,-86.498948,2019,2
plate1,61,F,1,KAC 112,kac112,Anaxyrus,terrestris,kac112_terrestris,m,32.950115,-86.537227,2019,2
plate1,62,F,2,KAC 113,kac113,Anaxyrus,americanus,kac113_americanus,m,33.005279,-86.388972,2019,2
plate1,63,F,3,KAC 114,kac114,Anaxyrus,americanus,kac114_americanus,f,33.016167,-86.403184,2019,2
plate1,64,F,4,KAC 115,kac115,Anaxyrus,americanus,kac115_americanus,f,32.98218,-86.404875,2019,2
plate1,65,F,5,KAC 116,kac116,Anaxyrus,americanus,kac116_americanus,f,32.969645,-86.421375,2019,2
plate1,66,F,6,KAC 117,kac117,Anaxyrus,terrestris,kac117_terrestris,?,32.971456,-86.529008,2019,2
plate1,67,F,7,KAC 121,kac121,Anaxyrus,terrestris,kac121_terrestris,f,32.441195,-85.653856,2019,2
plate1,68,F,8,KAC 122,kac122,Anaxyrus,terrestris,kac122_terrestris,m,32.854106,-86.766186,2019,4
plate1,69,F,9,KAC 123,kac123,Anaxyrus,terrestris,kac123_terrestris,m,32.900844,-86.675872,2019,4
plate1,70,F,10,KAC 124,kac124,Anaxyrus,terrestris,kac124_terrestris,f,32.910603,-86.678496,2019,4
plate1,71,F,11,KAC 125,kac125,Anaxyrus,terrestris,kac125_terrestris,f,32.917147,-86.682083,2019,4
plate1,72,F,12,KAC 126,kac126,Anaxyrus,terrestris,kac126_terrestris,m,32.927167,-86.674068,2019,4
plate1,73,G,1,KAC 127,kac127,Anaxyrus,terrestris,kac127_terrestris,f,32.971593,-86.625164,2019,4
plate1,74,G,2,KAC 128,kac128,Anaxyrus,terrestris,kac128_terrestris,m,33.005855,-86.63703,2019,4
plate1,75,G,3,KAC 129,kac129,Anaxyrus,terrestris,kac129_terrestris,m,33.007967,-86.642098,2019,4
plate1,76,G,4,KAC 130,kac130,Anaxyrus,terrestris,kac130_terrestris,m,33.008185,-86.643333,2019,4
plate1,77,G,5,KAC 131,kac131,Anaxyrus,terrestris,kac131_terrestris,m,33.015085,-86.649372,2019,4
plate1,78,G,6,KAC 132,kac132,Anaxyrus,terrestris,kac132_terrestris,m,33.020339,-86.666505,2019,4
plate1,79,G,7,KAC 133,kac133,Anaxyrus,terrestris,kac133_terrestris,f,33.01163,-86.647591,2019,4
plate1,80,G,8,KAC 134,kac134,Anaxyrus,terrestris,kac134_terrestris,m,33.005369,-86.636515,2019,4
plate1,81,G,9,KAC 135,kac135,Anaxyrus,terrestris,kac135_terrestris,f,33.00644,-86.633682,2019,4
plate1,82,G,10,KAC 136,kac136,Anaxyrus,terrestris,kac136_terrestris,m,33.006733,-86.633158,2019,4
plate1,84,G,12,KAC 138,kac138,Anaxyrus,americanus,kac138_americanus,?,32.702242,-85.661958,2019,4
plate1,85,H,1,KAC 139,kac139,Anaxyrus,americanus,kac139_americanus,?,32.730416,-85.661728,2019,4
plate1,86,H,2,KAC 140,kac140,Anaxyrus,terrestris,kac140_terrestris,?,32.625533,-85.636835,2019,4
plate1,87,H,3,KAC 141,kac141,Anaxyrus,terrestris,kac141_terrestris,?,32.410323,-85.601075,2019,4
plate1,88,H,4,KAC 142,kac142,Anaxyrus,terrestris,kac142_terrestris,?,32.570111,-85.808878,2019,4
plate1,89,H,5,KAC 143,kac143,Anaxyrus,terrestris,kac143_terrestris,?,32.477727,-85.798238,2019,4
plate1,90,H,6,KAC 144,kac144,Anaxyrus,terrestris,kac144_terrestris,?,32.477069,-85.795772,2019,4
plate1,91,H,7,KAC 145,kac145,Anaxyrus,terrestris,kac145_terrestris,?,32.481285,-85.763541,2019,4
plate1,92,H,8,KAC 146,kac146,Anaxyrus,terrestris,kac146_terrestris,?,32.482906,-85.756219,2019,4
plate1,93,H,9,KAC 147,kac147,Anaxyrus,terrestris,kac147_terrestris,?,32.450012,-85.796522,2019,4
plate1,94,H,10,KAC 148,kac148,Anaxyrus,terrestris,kac148_terrestris,?,32.454201,-85.794082,2019,4
plate1,95,H,11,KAC 149,kac149,Anaxyrus,terrestris,kac149_terrestris,?,32.454491,-85.786639,2019,4
plate1,96,H,12,KAC 150,kac150,Anaxyrus,terrestris,kac150_terrestris,?,32.454491,-85.786639,2019,4
plate2,1,A,1,KAC 151,kac151,Anaxyrus,terrestris,kac151_terrestris,?,32.45451,-85.784163,2019,4
plate2,2,A,2,KAC 152,kac152,Anaxyrus,terrestris,kac152_terrestris,?,32.454233,-85.776336,2019,4
plate2,3,A,3,KAC 153,kac153,Anaxyrus,terrestris,kac153_terrestris,?,32.454233,-85.776336,2019,4
plate2,4,A,4,KAC 154,kac154,Anaxyrus,terrestris,kac154_terrestris,?,32.465744,-85.769772,2019,4
plate2,5,A,5,KAC 155,kac155,Anaxyrus,terrestris,kac155_terrestris,?,32.469615,-85.773691,2019,4
plate2,6,A,6,KAC 156,kac156,Anaxyrus,terrestris,kac156_terrestris,?,32.477095,-85.791747,2019,4
plate2,8,A,8,KAC 158,kac158,Anaxyrus,terrestris,kac158_terrestris,?,32.477095,-85.791747,2019,4
plate2,9,A,9,KAC 159,kac159,Anaxyrus,terrestris,kac159_terrestris,?,32.490004,-85.797409,2019,4
plate2,10,A,10,KAC 160,kac160,Anaxyrus,terrestris,kac160_terrestris,?,32.408088,-85.478571,2019,4
plate2,11,A,11,KAC 161,kac161,Anaxyrus,terrestris,kac161_terrestris,?,32.417444,-85.471168,2019,4
plate2,92,H,8,KAC 161,kac161,Anaxyrus,terrestris,kac161_terrestris,?,32.417444,-85.471168,2019,4
plate2,12,A,12,KAC 162,kac162,Anaxyrus,terrestris,kac162_terrestris,?,32.35417,-86.098383,,
plate2,13,B,1,KAC 163,kac163,Anaxyrus,terrestris,kac163_terrestris,?,32.339941,-86.099463,,
plate2,14,B,2,KAC 164,kac164,Anaxyrus,terrestris,kac164_terrestris,?,32.315622,-86.137894,,
plate2,17,B,5,KAC 167,kac167,Anaxyrus,terrestris,kac167_terrestris,f,33.066201,-86.603276,2019,4
plate2,18,B,6,KAC 172,kac172,Anaxyrus,americanus,kac172_americanus,f,32.621711,-85.614672,2019,5
plate2,19,B,7,KAC 173,kac173,Anaxyrus,americanus,kac173_americanus,f,32.617511,-85.643347,2019,5
plate2,22,B,10,KAC 176,kac176,Anaxyrus,americanus,kac176_americanus,f,32.668357,-85.662326,2019,5
plate2,23,B,11,KAC 177,kac177,Anaxyrus,americanus,kac177_americanus,f,32.655707,-85.571337,2019,5
plate2,27,C,3,KAC 181,kac181,Anaxyrus,terrestris,kac181_terrestris,m,32.386444,-85.235611,2019,5
plate2,28,C,4,KAC 182,kac182,Anaxyrus,terrestris,kac182_terrestris,m,32.385793,-85.235653,2019,5
plate2,29,C,5,KAC 183,kac183,Anaxyrus,terrestris,kac183_terrestris,m,32.385793,-85.235653,2019,5
plate2,30,C,6,KAC 184,kac184,Anaxyrus,terrestris,kac184_terrestris,m,32.385793,-85.235653,2019,5
plate2,31,C,7,KAC 185,kac185,Anaxyrus,terrestris,kac185_terrestris,m,32.385793,-85.235653,2019,5
plate2,93,H,9,KAC 187,kac187,Anaxyrus,americanus,kac187_americanus,m,32.645479,-85.551346,2020,2
plate2,33,C,9,KAC 187,kac187,Anaxyrus,terrestris,kac187_terrestris,m,32.645479,-85.551346,2020,2
plate2,34,C,10,KAC 188,kac188,Anaxyrus,terrestris,kac188_terrestris,f,32.409763,-85.602077,2020,2
plate2,35,C,11,KAC 189,kac189,Anaxyrus,terrestris,kac189_terrestris,f,33.091522,-86.566863,2020,3
plate2,36,C,12,KAC 190,kac190,Anaxyrus,terrestris,kac190_terrestris,f,33.112983,-86.694343,2020,3
plate2,37,D,1,KAC 191,kac191,Anaxyrus,terrestris,kac191_terrestris,m,33.106591,-86.682277,2020,3
plate2,38,D,2,KAC 192,kac192,Anaxyrus,terrestris,kac192_terrestris,f,33.105093,-86.680138,2020,3
plate2,39,D,3,KAC 193,kac193,Anaxyrus,terrestris,kac193_terrestris,f,33.07896,-86.672859,2020,3
plate2,40,D,4,KAC 194,kac194,Anaxyrus,terrestris,kac194_terrestris,m,32.939331,-86.620078,2020,3
plate2,41,D,5,KAC 195,kac195,Anaxyrus,terrestris,kac195_terrestris,f,32.947455,-86.621458,2020,3
plate2,42,D,6,KAC 196,kac196,Anaxyrus,terrestris,kac196_terrestris,f,32.948288,-86.621901,2020,3
plate2,43,D,7,KAC 197,kac197,Anaxyrus,terrestris,kac197_terrestris,m,32.949291,-86.622407,2020,3
plate2,44,D,8,KAC 198,kac198,Anaxyrus,terrestris,kac198_terrestris,j,32.950771,-86.623061,2020,3
plate2,45,D,9,KAC 199,kac199,Anaxyrus,terrestris,kac199_terrestris,f,32.957938,-86.624769,2020,3
plate2,46,D,10,KAC 200,kac200,Anaxyrus,terrestris,kac200_terrestris,f,32.959396,-86.624885,2020,3
plate2,50,E,2,KAC 205,kac205,Anaxyrus,terrestris,kac205_terrestris,m,32.548519,-85.486919,2020,3
plate2,51,E,3,KAC 206,kac206,Anaxyrus,americanus,kac206_americanus,f,33.307591,-86.582013,2020,4
plate2,52,E,4,KAC 207,kac207,Anaxyrus,americanus,kac207_americanus,j,33.316847,-86.575965,2020,4
plate2,53,E,5,KAC 208,kac208,Anaxyrus,americanus,kac208_americanus,m,33.098294,-86.565293,2020,4
plate2,54,E,6,KAC 209,kac209,Anaxyrus,terrestris,kac209_terrestris,f,33.086002,-86.563938,2020,4
plate2,55,E,7,KAC 210,kac210,Anaxyrus,terrestris,kac210_terrestris,m,33.086002,-86.563938,2020,4
plate2,56,E,8,KAC 211,kac211,Anaxyrus,terrestris,kac211_terrestris,m,33.014643,-86.609949,2020,4
plate2,94,H,10,KAC 211,kac211,Anaxyrus,terrestris,kac211_terrestris,m,33.014643,-86.609949,2020,4
plate2,57,E,9,KAC 212,kac212,Anaxyrus,terrestris,kac212_terrestris,m,33.012085,-86.617071,2020,4
plate2,58,E,10,KAC 213,kac213,Anaxyrus,terrestris,kac213_terrestris,f,33.004352,-86.637099,2020,4
plate2,59,E,11,KAC 214,kac214,Anaxyrus,terrestris,kac214_terrestris,m,32.999914,-86.641813,2020,4
plate2,60,E,12,KAC 215,kac215,Anaxyrus,terrestris,kac215_terrestris,m,32.996047,-86.645262,2020,4
plate2,61,F,1,KAC 216,kac216,Anaxyrus,terrestris,kac216_terrestris,f,33.013457,-86.6096,2020,4
plate2,62,F,2,KAC 217,kac217,Anaxyrus,terrestris,kac217_terrestris,m,32.914699,-86.602699,2020,4
plate2,63,F,3,KAC 218,kac218,Anaxyrus,terrestris,kac218_terrestris,m,32.924322,-86.598953,2020,4
plate2,64,F,4,KAC 219,kac219,Anaxyrus,terrestris,kac219_terrestris,f,32.93987,-86.561135,2020,4
plate2,65,F,5,KAC 220,kac220,Anaxyrus,americanus,kac220_americanus,m,32.96579,-86.508917,2020,4
plate2,66,F,6,KAC 221,kac221,Anaxyrus,americanus,kac221_americanus,j,32.963888,-86.425495,2020,4
plate2,95,H,11,KAC 221,kac221,Anaxyrus,americanus,kac221_americanus,j,32.963888,-86.425495,2020,4
plate2,67,F,7,KAC 223,kac223,Anaxyrus,terrestris,kac223_terrestris,m,32.533621,-85.798389,2020,4
plate2,68,F,8,KAC 224,kac224,Anaxyrus,terrestris,kac224_terrestris,f,32.48869,-85.795555,2020,4
plate2,69,F,9,KAC 225,kac225,Anaxyrus,terrestris,kac225_terrestris,f,32.501593,-85.798595,2020,4
plate2,71,F,11,KAC 230,kac230,Anaxyrus,terrestris,kac230_terrestris,m,30.809332,-86.776858,2020,5
plate2,72,F,12,KAC 232,kac232,Anaxyrus,terrestris,kac232_terrestris,?,30.809216,-86.789938,2020,5
plate2,96,H,12,KAC 232,kac232,Anaxyrus,terrestris,kac232_terrestris,?,30.809216,-86.789938,2020,5
plate2,73,G,1,KAC 233,kac233,Anaxyrus,terrestris,kac233_terrestris,?,30.809216,-86.789938,2020,5
plate2,74,G,2,KAC 234,kac234,Anaxyrus,terrestris,kac234_terrestris,?,30.809216,-86.789938,2020,5
plate2,75,G,3,KAC 236,kac236,Anaxyrus,terrestris,kac236_terrestris,?,30.826322,-86.802577,2020,5
plate2,76,G,4,KAC 237,kac237,Anaxyrus,terrestris,kac237_terrestris,?,30.837332,-86.7763,2020,5
plate2,77,G,5,KAC 238,kac238,Anaxyrus,terrestris,kac238_terrestris,?,30.824332,-86.762838,2020,5
plate2,78,G,6,KAC 239,kac239,Anaxyrus,terrestris,kac239_terrestris,?,30.8016249,-86.7665909,2020,5
plate2,81,G,9,KAC 242,kac242,Anaxyrus,americanus,kac242_americanus,m,34.504456,-85.637683,2020,7
plate2,84,G,12,KAC t1020,t1020,Anaxyrus,terrestris,t1020_terrestris,m,31.107834,-86.622468,2017,?
plate2,85,H,1,KAC t1030,t1030,Anaxyrus,terrestris,t1030_terrestris,f,31.990423,-85.074232,2018,?
plate2,91,H,7,KAC t1040,t1040,Anaxyrus,terrestris,t1040_terrestris,m,31.990158,-85.070458,2018,?
plate2,86,H,2,KAC t2004,t2004,Anaxyrus,americanus,t2004_americanus,f,33.582946,-85.73524,2018,?
plate1,5,A,5,KAC t2015,t2015,Anaxyrus,americanus,t2015_americanus,m,33.584347,-85.740643,2018,?
plate3,1,A,1,KAC t2018-02-17-01,kac2018021701,Anaxyrus,americanus,kac2018021701_americanus,?,33.55274,-85.829132,2018,2
plate3,2,A,2,KAC t2018-02-17-04,kac2018021704,Anaxyrus,americanus,kac2018021704_americanus,?,33.485484,-85.888566,2018,2
plate3,3,A,3,KAC t2018-02-17-05,kac2018021705,Anaxyrus,americanus,kac2018021705_americanus,?,33.316494,-86.052932,2018,2
plate3,4,A,4,KAC t2018-02-17-06,kac2018021706,Anaxyrus,americanus,kac2018021706_americanus,?,33.284428,-86.084432,2018,2
plate3,5,A,5,KAC t2018-02-17-07,kac2018021707,Anaxyrus,americanus,kac2018021707_americanus,?,33.245762,-86.081675,2018,2
plate3,6,A,6,KAC t2018-03-10-1,kac201803101,Anaxyrus,americanus,kac201803101_americanus,?,32.910571,-86.092722,2018,3
plate3,8,A,8,KAC t2018-03-10-3,kac201803103,Anaxyrus,americanus,kac201803103_americanus,?,32.951037,-86.145395,2018,3
plate3,9,A,9,KAC t2018-03-10-4,kac201803104,Anaxyrus,americanus,kac201803104_americanus,?,32.897867,-86.26061,2018,3
plate3,10,A,10,KAC t2018-03-10-5,kac201803105,Anaxyrus,americanus,kac201803105_americanus,?,32.816418,-86.38018,2018,3
plate3,11,A,11,KAC t2018-08-18-1,kac201808181,Anaxyrus,terrestris,kac201808181_terrestris,?,30.669021,-81.440135,2018,8
plate3,12,A,12,KAC t2018-08-18-2,kac201808182,Anaxyrus,terrestris,kac201808182_terrestris,?,30.669021,-81.440135,2018,8
plate3,13,B,1,KAC t2018-08-18-3,kac201808183,Anaxyrus,terrestris,kac201808183_terrestris,?,30.432818,-81.640876,2018,8
plate3,14,B,2,KAC t2018-08-18-4,kac201808184,Anaxyrus,terrestris,kac201808184_terrestris,?,30.669021,-81.440135,2018,8
plate3,15,B,3,KAC t2019-08-25-1,kac201908251,Anaxyrus,americanus,kac201908251_americanus,j,34.218521,-87.366617,2019,8
plate2,90,H,6,KAC t2020,t2020,Anaxyrus,americanus,t2020_americanus,f,33.238526,-85.962698,2017,?
plate2,87,H,3,KAC t2040,t2040,Anaxyrus,americanus,t2040_americanus,m,33.582945,-85.735393,2018,?
plate2,88,H,4,KAC t2043,t2043,Anaxyrus,americanus,t2043_americanus,f,32.816418,-86.38018,2018,?
plate3,38,D,2,UTEP 19947,utep19947,Anaxyrus,terrestris,utep19947_terrestris,,31.22431667,-88.77548333,2009,
