plate_id,plate_index,row,column,sample_id,sample_id2,species,reassign,rename,sex,latitude,longitude,year,month
plate1,58,E,10,kac_109,kac109,terrestris,terrestris,kac109_terrestris,m,32.941729,-86.557867,2019,2
plate1,59,E,11,kac_110,kac110,americanus,americanus,kac110_americanus,m,33.030987,-86.409405,2019,2
plate1,60,E,12,kac_111,kac111,americanus,americanus,kac111_americanus,m,33.005181,-86.498948,2019,2
plate1,61,F,1,kac_112,kac112,terrestris,terrestris,kac112_terrestris,m,32.950115,-86.537227,2019,2
plate1,62,F,2,kac_113,kac113,americanus,americanus,kac113_americanus,m,33.005279,-86.388972,2019,2
plate1,63,F,3,kac_114,kac114,americanus,americanus,kac114_americanus,f,33.016167,-86.403184,2019,2
plate1,64,F,4,kac_115,kac115,americanus,americanus,kac115_americanus,f,32.98218,-86.404875,2019,2
plate1,65,F,5,kac_116,kac116,americanus,americanus,kac116_americanus,f,32.969645,-86.421375,2019,2
plate1,66,F,6,kac_117,kac117,terrestris,terrestris,kac117_terrestris,?,32.971456,-86.529008,2019,2
plate1,67,F,7,kac_121,kac121,terrestris,terrestris,kac121_terrestris,f,32.441195,-85.653856,2019,2
plate1,68,F,8,kac_122,kac122,terrestris,terrestris,kac122_terrestris,m,32.854106,-86.766186,2019,4
plate1,69,F,9,kac_123,kac123,terrestris,terrestris,kac123_terrestris,m,32.900844,-86.675872,2019,4
plate1,70,F,10,kac_124,kac124,terrestris,terrestris,kac124_terrestris,f,32.910603,-86.678496,2019,4
plate1,71,F,11,kac_125,kac125,terrestris,terrestris,kac125_terrestris,f,32.917147,-86.682083,2019,4
plate1,72,F,12,kac_126,kac126,terrestris,terrestris,kac126_terrestris,m,32.927167,-86.674068,2019,4
plate1,73,G,1,kac_127,kac127,terrestris,terrestris,kac127_terrestris,f,32.971593,-86.625164,2019,4
plate1,74,G,2,kac_128,kac128,terrestris,terrestris,kac128_terrestris,m,33.005855,-86.63703,2019,4
plate1,75,G,3,kac_129,kac129,terrestris,terrestris,kac129_terrestris,m,33.007967,-86.642098,2019,4
plate1,76,G,4,kac_130,kac130,terrestris,terrestris,kac130_terrestris,m,33.008185,-86.643333,2019,4
plate1,77,G,5,kac_131,kac131,terrestris,terrestris,kac131_terrestris,m,33.015085,-86.649372,2019,4
plate1,78,G,6,kac_132,kac132,terrestris,terrestris,kac132_terrestris,m,33.020339,-86.666505,2019,4
plate1,79,G,7,kac_133,kac133,terrestris,terrestris,kac133_terrestris,f,33.01163,-86.647591,2019,4
plate1,80,G,8,kac_134,kac134,terrestris,terrestris,kac134_terrestris,m,33.005369,-86.636515,2019,4
plate1,81,G,9,kac_135,kac135,terrestris,terrestris,kac135_terrestris,f,33.00644,-86.633682,2019,4
plate1,82,G,10,kac_136,kac136,terrestris,terrestris,kac136_terrestris,m,33.006733,-86.633158,2019,4
plate1,83,G,11,kac_137,kac137,americanus,fowleri,kac137_fowleri,?,33.014605,-86.609529,2019,4
plate1,84,G,12,kac_138,kac138,americanus,americanus,kac138_americanus,?,32.702242,-85.661958,2019,4
plate1,85,H,1,kac_139,kac139,americanus,americanus,kac139_americanus,?,32.730416,-85.661728,2019,4
plate1,86,H,2,kac_140,kac140,terrestris,terrestris,kac140_terrestris,?,32.625533,-85.636835,2019,4
plate1,87,H,3,kac_141,kac141,terrestris,terrestris,kac141_terrestris,?,32.410323,-85.601075,2019,4
plate1,88,H,4,kac_142,kac142,terrestris,terrestris,kac142_terrestris,?,32.570111,-85.808878,2019,4
plate1,89,H,5,kac_143,kac143,terrestris,terrestris,kac143_terrestris,?,32.477727,-85.798238,2019,4
plate1,90,H,6,kac_144,kac144,terrestris,terrestris,kac144_terrestris,?,32.477069,-85.795772,2019,4
plate1,91,H,7,kac_145,kac145,terrestris,terrestris,kac145_terrestris,?,32.481285,-85.763541,2019,4
plate1,92,H,8,kac_146,kac146,terrestris,terrestris,kac146_terrestris,?,32.482906,-85.756219,2019,4
