generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00952381	12	1248	6	none	
NeighborHeightNodeSwap	0.00732303	9	1220	6	none	
GlobalHeightSizeMixer	0.38342	74	119	1	0.0253455	
GlobalHeightSizeRateScaler	0.492754	102	105	1	0.0295694	
GlobalNodeHeightDirichletOperator	0.341445	884	1705	1	0.000217505	
GlobalPopSizeScaler	0.431694	79	104	1	0.0500066	
NodeHeightDirichletOperator	0.688725	843	381	6	0.00484447	
NodeHeightMover	0.263877	309	862	6	0.00030885	
NodeHeightScaler	0.564312	623	481	6	0.0867977	
NodeHeightSlideBumpScaler	0.595097	704	479	6	0.0812202	
NodeHeightSlideBumpSwapScaler	0.669779	789	389	6	0.0608201	
RootHeightScaler	0.622044	1631	991	1	0.0559327	
SplitLumpNodesRevJumpSampler	0.0561661	46	773	4	1	
SplitLumpNodesRevJumpSampler	0.0657568	53	753	4	10	
SplitLumpNodesRevJumpSampler	0.0203304	16	771	4	100	
TreeScaler	0.617225	129	80	1	0.0379589	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00651466	16	2440	6	none	
NeighborHeightNodeSwap	0.00529747	13	2441	6	none	
GlobalHeightSizeMixer	0.420513	164	226	1	0.025437	
GlobalHeightSizeRateScaler	0.459854	189	222	1	0.0292378	
GlobalNodeHeightDirichletOperator	0.357554	1865	3351	1	0.000206481	
GlobalPopSizeScaler	0.432361	163	214	1	0.0487716	
NodeHeightDirichletOperator	0.666942	1612	805	6	0.00557027	
NodeHeightMover	0.301601	716	1658	6	0.000284441	
NodeHeightScaler	0.542906	1278	1076	6	0.0926782	
NodeHeightSlideBumpScaler	0.582311	1376	987	6	0.0880945	
NodeHeightSlideBumpSwapScaler	0.654358	1524	805	6	0.0695689	
RootHeightScaler	0.580546	3020	2182	1	0.0597702	
SplitLumpNodesRevJumpSampler	0.0460123	75	1555	4	1	
