generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00601892	7	1156	6	none	
NeighborHeightNodeSwap	0.00485044	6	1231	6	none	
GlobalHeightSizeMixer	0.443902	91	114	1	0.0253603	
GlobalHeightSizeRateScaler	0.538889	97	83	1	0.0253619	
GlobalNodeHeightDirichletOperator	0.422424	1119	1530	1	0.000150085	
GlobalPopSizeScaler	0.451777	89	108	1	0.0442927	
NodeHeightDirichletOperator	0.713151	808	325	6	0.00437744	
NodeHeightMover	0.214527	254	930	6	0.000396215	
NodeHeightScaler	0.570234	682	514	6	0.0856313	
NodeHeightSlideBumpScaler	0.654341	814	430	6	0.0671544	
NodeHeightSlideBumpSwapScaler	0.57477	688	509	6	0.0920126	
RootHeightScaler	0.51991	1384	1278	1	0.0624476	
SplitLumpNodesRevJumpSampler	0.072104	61	785	4	1	
SplitLumpNodesRevJumpSampler	0.0759331	59	718	4	10	
SplitLumpNodesRevJumpSampler	0.0215311	18	818	4	100	
TreeScaler	0.622642	132	80	1	0.0359846	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00431406	10	2308	6	none	
NeighborHeightNodeSwap	0.00287947	7	2424	6	none	
GlobalHeightSizeMixer	0.455399	194	232	1	0.02579	
GlobalHeightSizeRateScaler	0.492188	189	195	1	0.0251722	
GlobalNodeHeightDirichletOperator	0.41812	2206	3070	1	0.000148072	
GlobalPopSizeScaler	0.434243	175	228	1	0.0437509	
NodeHeightDirichletOperator	0.682526	1578	734	6	0.00513705	
NodeHeightMover	0.243198	581	1808	6	0.000352017	
NodeHeightScaler	0.557676	1344	1066	6	0.0922327	
NodeHeightSlideBumpScaler	0.625867	1534	917	6	0.0753679	
NodeHeightSlideBumpSwapScaler	0.537945	1283	1102	6	0.0960532	
RootHeightScaler	0.510719	2692	2579	1	0.0653943	
SplitLumpNodesRevJumpSampler	0.0583283	97	1566	4	1	
SplitLumpNodesRevJumpSampler	0.0650618	100	1437	4	10	
SplitLumpNodesRevJumpSampler	0.0178998	30	1646	4	100	
TreeScaler	0.559524	235	185	1	0.0387605	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00366921	13	3530	6	none	
NeighborHeightNodeSwap	0.00298913	11	3669	6	none	
GlobalHeightSizeMixer	0.463376	291	337	1	0.0262527	
