"plate_id","plate_index","row","column","sample_id","sample_id2","species","reassign","rename","sex","latitude","longitude","year","month","group"
"plate1",33,"C",9,"kac_84","kac84","americanus","americanus","kac84_americanus","m",33.044558,-86.455469,2019,"2",4
"plate1",35,"C",11,"kac_86","kac86","americanus","americanus","kac86_americanus","m",33.044558,-86.455469,2019,"2",4
"plate1",36,"C",12,"kac_87","kac87","americanus","americanus","kac87_americanus","m",33.014843,-86.390403,2019,"2",4
"plate1",38,"D",2,"kac_89","kac89","americanus","americanus","kac89_americanus","m",33.014843,-86.390403,2019,"2",4
"plate1",39,"D",3,"kac_90","kac90","americanus","americanus","kac90_americanus","m",33.064717,-86.474958,2019,"2",4
"plate1",40,"D",4,"kac_91","kac91","americanus","americanus","kac91_americanus","f",33.064717,-86.474958,2019,"2",4
"plate1",41,"D",5,"kac_92","kac92","americanus","americanus","kac92_americanus","m",33.064717,-86.474958,2019,"2",4
"plate1",42,"D",6,"kac_93","kac93","americanus","americanus","kac93_americanus","m",33.064717,-86.474958,2019,"2",4
"plate1",43,"D",7,"kac_94","kac94","americanus","americanus","kac94_americanus","m",33.064717,-86.474958,2019,"2",4
"plate1",44,"D",8,"kac_95","kac95","americanus","americanus","kac95_americanus","m",33.064717,-86.474958,2019,"2",4
"plate1",45,"D",9,"kac_96","kac96","americanus","americanus","kac96_americanus","m",33.064717,-86.474958,2019,"2",4
"plate1",46,"D",10,"kac_97","kac97","americanus","americanus","kac97_americanus","f",33.064717,-86.474958,2019,"2",4
"plate1",47,"D",11,"kac_98","kac98","americanus","americanus","kac98_americanus","f",33.025724,-86.467107,2019,"2",4
"plate1",48,"D",12,"kac_99","kac99","americanus","americanus","kac99_americanus","f",33.025724,-86.467107,2019,"2",4
"plate1",49,"E",1,"kac_100","kac100","terrestris","terrestris","kac100_terrestris","m",32.923743,-86.671995,2019,"2",3
"plate1",50,"E",2,"kac_101","kac101","americanus","americanus","kac101_americanus","f",33.032829,-86.459752,2019,"2",4
"plate1",51,"E",3,"kac_102","kac102","terrestris","terrestris","kac102_terrestris","m",32.945435,-86.557771,2019,"2",3
"plate1",52,"E",4,"kac_103","kac103","terrestris","terrestris","kac103_terrestris","f",32.94947,-86.526299,2019,"2",3
"plate1",53,"E",5,"kac_104","kac104","terrestris","terrestris","kac104_terrestris","f",32.94947,-86.526299,2019,"2",3
"plate1",54,"E",6,"kac_105","kac105","americanus","americanus","kac105_americanus","f",33.042782,-86.453772,2019,"2",4
