generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_unknown	pop_size_woodhousii	pop_size_nebulifer	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
0	-61398.0488983990654	11.6110772136774258	1	1	1	0.00348413407104258442	1	0.5	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001
10	-61026.4232825965155	28.269073858146271	1	1	4	0.0038722612235901851	1	0.5	0.000546962385122853976	0.000546962385122853976	0.000546962385122853976	0.000546962385122853976	0.000546962385122853976	0.000546962385122853976	0.000546962385122853976	0.000546962385122853976	0.000546962385122853976	0.000546962385122853976	0.000546962385122853976	0.000546962385122853976	0.000546962385122853976	0.000546962385122853976	0.000546962385122853976
20	-59303.1645397936081	27.6255389400893527	1	1	4	0.00464662757602182005	1	0.5	0.000584541099118737685	0.000584541099118737685	0.000584541099118737685	0.000584541099118737685	0.000584541099118737685	0.000584541099118737685	0.000584541099118737685	0.000584541099118737685	0.000584541099118737685	0.000584541099118737685	0.000584541099118737685	0.000584541099118737685	0.000584541099118737685	0.000584541099118737685	0.000584541099118737685
30	-58811.8503946221026	44.9209883096924187	1	1	7	0.00495866439852338248	1	0.5	0.000599878784743845079	0.000599878784743845079	0.000599878784743845079	0.000599878784743845079	0.000599878784743845079	0.000599878784743845079	0.000599878784743845079	0.000599878784743845079	0.000599878784743845079	0.000599878784743845079	0.000599878784743845079	0.000599878784743845079	0.000599878784743845079	0.000599878784743845079	0.000599878784743845079
40	-58248.3592001923971	60.6780043738256722	1	1	10	0.00526114715957531464	1	0.5	0.000645207737385856983	0.000645207737385856983	0.000645207737385856983	0.000645207737385856983	0.000645207737385856983	0.000645207737385856983	0.000645207737385856983	0.000645207737385856983	0.000645207737385856983	0.000645207737385856983	0.000645207737385856983	0.000645207737385856983	0.000645207737385856983	0.000645207737385856983	0.000645207737385856983
50	-57607.0369508652948	50.7006386344033473	1	1	8	0.00660831024520308705	1	0.5	0.000637702714465270882	0.000637702714465270882	0.000637702714465270882	0.000637702714465270882	0.000637702714465270882	0.000637702714465270882	0.000637702714465270882	0.000637702714465270882	0.000637702714465270882	0.000637702714465270882	0.000637702714465270882	0.000637702714465270882	0.000637702714465270882	0.000637702714465270882	0.000637702714465270882
60	-57043.8662892883294	44.2673632928882128	1	1	7	0.00772995392580987008	1	0.5	0.000647599284237344386	0.000647599284237344386	0.000647599284237344386	0.000647599284237344386	0.000647599284237344386	0.000647599284237344386	0.000647599284237344386	0.000647599284237344386	0.000647599284237344386	0.000647599284237344386	0.000647599284237344386	0.000647599284237344386	0.000647599284237344386	0.000647599284237344386	0.000647599284237344386
70	-56926.1246852698969	58.8307059006865529	1	1	10	0.00851038258771433589	1	0.5	0.000647734068926967936	0.000647734068926967936	0.000647734068926967936	0.000647734068926967936	0.000647734068926967936	0.000647734068926967936	0.000647734068926967936	0.000647734068926967936	0.000647734068926967936	0.000647734068926967936	0.000647734068926967936	0.000647734068926967936	0.000647734068926967936	0.000647734068926967936	0.000647734068926967936
80	-56537.7153583165491	59.5649558633574046	1	1	10	0.00954797049779638161	1	0.5	0.000654499485608013229	0.000654499485608013229	0.000654499485608013229	0.000654499485608013229	0.000654499485608013229	0.000654499485608013229	0.000654499485608013229	0.000654499485608013229	0.000654499485608013229	0.000654499485608013229	0.000654499485608013229	0.000654499485608013229	0.000654499485608013229	0.000654499485608013229	0.000654499485608013229
90	-56454.4841527371464	64.7669543500103657	1	1	11	0.0104932096584226722	1	0.5	0.000633328800682193675	0.000633328800682193675	0.000633328800682193675	0.000633328800682193675	0.000633328800682193675	0.000633328800682193675	0.000633328800682193675	0.000633328800682193675	0.000633328800682193675	0.000633328800682193675	0.000633328800682193675	0.000633328800682193675	0.000633328800682193675	0.000633328800682193675	0.000633328800682193675
