generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0153524	22	1411	7	none	
NeighborHeightNodeSwap	0.0112676	16	1404	7	none	
GlobalHeightSizeMixer	0.484018	106	113	1	0.0430798	
GlobalHeightSizeRateScaler	0.566845	106	81	1	0.0370274	
GlobalNodeHeightDirichletOperator	0.293383	869	2093	1	0.000319237	
GlobalPopSizeScaler	0.555024	116	93	1	0.0643009	
NodeHeightDirichletOperator	0.747664	1040	351	7	0.00509086	
NodeHeightMover	0.292373	414	1002	7	0.000459086	
NodeHeightScaler	0.657563	939	489	7	0.0723201	
NodeHeightSlideBumpScaler	0.635126	933	536	7	0.0840331	
NodeHeightSlideBumpSwapScaler	0.608016	895	577	7	0.0863443	
RootHeightScaler	0.582064	1720	1235	1	0.0633446	
SplitLumpNodesRevJumpSampler	0.0398278	37	892	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0639913	59	863	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0163934	15	900	4.66667	100	
TreeScaler	0.59204	119	82	1	0.0447903	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00911002	26	2828	7	none	
NeighborHeightNodeSwap	0.0089748	26	2871	7	none	
GlobalHeightSizeMixer	0.462754	205	238	1	0.0446466	
GlobalHeightSizeRateScaler	0.53317	217	190	1	0.038753	
GlobalNodeHeightDirichletOperator	0.293353	1761	4242	1	0.000286568	
GlobalPopSizeScaler	0.519512	213	197	1	0.0667944	
NodeHeightDirichletOperator	0.738418	2072	734	7	0.00631477	
NodeHeightMover	0.31032	854	1898	7	0.0004278	
NodeHeightScaler	0.630365	1777	1042	7	0.0802145	
NodeHeightSlideBumpScaler	0.598279	1738	1167	7	0.0921719	
NodeHeightSlideBumpSwapScaler	0.582561	1697	1216	7	0.0942924	
RootHeightScaler	0.559508	3366	2650	1	0.0682009	
SplitLumpNodesRevJumpSampler	0.0345395	63	1761	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0489989	93	1805	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0148227	28	1861	4.66667	100	
TreeScaler	0.560209	214	168	1	0.0486354	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00739713	32	4294	7	none	
NeighborHeightNodeSwap	0.00726165	31	4238	7	none	
GlobalHeightSizeMixer	0.453689	289	348	1	0.0443728	
GlobalHeightSizeRateScaler	0.504078	309	304	1	0.039378	
GlobalNodeHeightDirichletOperator	0.299276	2686	6289	1	0.000271915	
GlobalPopSizeScaler	0.514334	305	288	1	0.0690373	
NodeHeightDirichletOperator	0.726373	3082	1161	7	0.00709419	
NodeHeightMover	0.323755	1352	2824	7	0.0004114	
NodeHeightScaler	0.607565	2570	1660	7	0.0844399	
NodeHeightSlideBumpScaler	0.568	2485	1890	7	0.0959521	
NodeHeightSlideBumpSwapScaler	0.567381	2463	1878	7	0.0978541	
RootHeightScaler	0.548804	4931	4054	1	0.0705995	
SplitLumpNodesRevJumpSampler	0.0346445	96	2675	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0486333	137	2680	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0132807	37	2749	4.66667	100	
TreeScaler	0.530478	322	285	1	0.0499569	
generation 4000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0059451	34	5685	7	none	
NeighborHeightNodeSwap	0.0063593	36	5625	7	none	
GlobalHeightSizeMixer	0.453032	381	460	1	0.044336	
GlobalHeightSizeRateScaler	0.492234	412	425	1	0.0396352	
GlobalNodeHeightDirichletOperator	0.303682	3670	8415	1	0.000262381	
GlobalPopSizeScaler	0.51	408	392	1	0.0699601	
NodeHeightDirichletOperator	0.717637	4069	1601	7	0.00762428	
NodeHeightMover	0.334293	1858	3700	7	0.000403095	
NodeHeightScaler	0.597991	3393	2281	7	0.0878048	
NodeHeightSlideBumpScaler	0.564041	3272	2529	7	0.0990024	
NodeHeightSlideBumpSwapScaler	0.564691	3221	2483	7	0.100543	
RootHeightScaler	0.537439	6510	5603	1	0.0719706	
SplitLumpNodesRevJumpSampler	0.0328877	123	3617	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0513293	195	3604	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0122601	46	3706	4.66667	100	
TreeScaler	0.523058	431	393	1	0.0509939	
generation 5000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00491504	35	7086	7	none	
NeighborHeightNodeSwap	0.00601315	43	7108	7	none	
GlobalHeightSizeMixer	0.454632	476	571	1	0.0446711	
GlobalHeightSizeRateScaler	0.498575	525	528	1	0.0402671	
GlobalNodeHeightDirichletOperator	0.311199	4710	10425	1	0.000256045	
GlobalPopSizeScaler	0.513078	510	484	1	0.0714217	
NodeHeightDirichletOperator	0.717351	5048	1989	7	0.00807073	
NodeHeightMover	0.341871	2376	4574	7	0.000397112	
NodeHeightScaler	0.58249	4145	2971	7	0.0894883	
