generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NodeHeightSlideBumpSwapScaler	0.597327	5051	3405	7	0.0895285	
RootHeightScaler	0.627796	11338	6722	1	0.0593987	
SplitLumpNodesRevJumpSampler	0.0311721	175	5439	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0425456	238	5356	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0127818	72	5561	4.66667	100	
TreeScaler	0.480065	590	639	1	0.0523371	
generation 7000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00510511	51	9939	7	none	
NeighborHeightNodeSwap	0.004747	47	9854	7	none	
GlobalHeightSizeMixer	0.442919	613	771	1	0.0470984	
GlobalHeightSizeRateScaler	0.470213	663	747	1	0.0380737	
GlobalNodeHeightDirichletOperator	0.326233	6907	14265	1	0.000232115	
GlobalPopSizeScaler	0.518771	760	705	1	0.0642723	
NodeHeightDirichletOperator	0.696868	6830	2971	7	0.009432	
NodeHeightMover	0.300059	3027	7061	7	0.000449977	
NodeHeightScaler	0.587303	5856	4115	7	0.0926109	
NodeHeightSlideBumpScaler	0.556507	5589	4454	7	0.100688	
NodeHeightSlideBumpSwapScaler	0.591272	5853	4046	7	0.0911255	
RootHeightScaler	0.618111	13044	8059	1	0.0605217	
SplitLumpNodesRevJumpSampler	0.0298008	196	6381	4.66667	1	
SplitLumpNodesRevJumpSampler	0.04282	280	6259	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0120999	79	6450	4.66667	100	
TreeScaler	0.483027	683	731	1	0.0527441	
generation 8000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00462963	53	11395	7	none	
NeighborHeightNodeSwap	0.00468032	53	11271	7	none	
GlobalHeightSizeMixer	0.44592	705	876	1	0.0473391	
GlobalHeightSizeRateScaler	0.467419	746	850	1	0.0383281	
GlobalNodeHeightDirichletOperator	0.330155	7999	16229	1	0.000229512	
GlobalPopSizeScaler	0.517344	865	807	1	0.0649109	
NodeHeightDirichletOperator	0.692815	7781	3450	7	0.00972245	
NodeHeightMover	0.305485	3503	7964	7	0.000444397	
NodeHeightScaler	0.579109	6603	4799	7	0.0937151	
NodeHeightSlideBumpScaler	0.554407	6384	5131	7	0.102042	
NodeHeightSlideBumpSwapScaler	0.587057	6622	4658	7	0.092524	
RootHeightScaler	0.611938	14763	9362	1	0.0616077	
SplitLumpNodesRevJumpSampler	0.0286055	216	7335	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0418054	314	7197	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0115731	86	7345	4.66667	100	
TreeScaler	0.479012	776	844	1	0.0530542	
generation 9000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00420266	54	12795	7	none	
NeighborHeightNodeSwap	0.00423563	54	12695	7	none	
GlobalHeightSizeMixer	0.448393	795	978	1	0.0475	
GlobalHeightSizeRateScaler	0.462637	842	978	1	0.0383533	
GlobalNodeHeightDirichletOperator	0.333003	9071	18169	1	0.000227085	
GlobalPopSizeScaler	0.508154	966	935	1	0.0652151	
NodeHeightDirichletOperator	0.68752	8682	3946	7	0.00995638	
NodeHeightMover	0.309292	3971	8868	7	0.000439954	
NodeHeightScaler	0.5738	7363	5469	7	0.0947218	
