generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_unknown	pop_size_woodhousii	pop_size_nebulifer	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
0	-61988.7307724669081	10.881216361828816	1	1	1	0.0107827425895286686	1	0.5	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001
10	-60501.573216525052	34.1313351393340838	1	1	6	0.0104528655723664047	1	0.5	0.000499935672665023146	0.000499935672665023146	0.000499935672665023146	0.000499935672665023146	0.000499935672665023146	0.000499935672665023146	0.000499935672665023146	0.000499935672665023146	0.000499935672665023146	0.000499935672665023146	0.000499935672665023146	0.000499935672665023146	0.000499935672665023146	0.000499935672665023146	0.000499935672665023146
20	-59769.2074207840924	39.218850340494626	1	1	7	0.0094711574852052588	1	0.5	0.000555666764798440739	0.000555666764798440739	0.000555666764798440739	0.000555666764798440739	0.000555666764798440739	0.000555666764798440739	0.000555666764798440739	0.000555666764798440739	0.000555666764798440739	0.000555666764798440739	0.000555666764798440739	0.000555666764798440739	0.000555666764798440739	0.000555666764798440739	0.000555666764798440739
30	-58843.1492420309951	49.696636619837264	1	1	9	0.00923148815583686722	1	0.5	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115
40	-58179.7360361284227	60.0714507337440722	1	1	11	0.00905920023031408714	1	0.5	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115	0.000569817183142504115
50	-57512.702516061574	61.729540000039222	1	1	11	0.00891926018725473085	1	0.5	0.000587223127779091126	0.000587223127779091126	0.000587223127779091126	0.000587223127779091126	0.000587223127779091126	0.000587223127779091126	0.000587223127779091126	0.000587223127779091126	0.000587223127779091126	0.000587223127779091126	0.000587223127779091126	0.000587223127779091126	0.000587223127779091126	0.000587223127779091126	0.000587223127779091126
60	-57048.3280590856011	57.8075345503338198	1	1	10	0.0088358350021705348	1	0.5	0.000622752595783899934	0.000622752595783899934	0.000622752595783899934	0.000622752595783899934	0.000622752595783899934	0.000622752595783899934	0.000622752595783899934	0.000622752595783899934	0.000622752595783899934	0.000622752595783899934	0.000622752595783899934	0.000622752595783899934	0.000622752595783899934	0.000622752595783899934	0.000622752595783899934
70	-56783.5949814679188	58.3201764157254132	1	1	10	0.00903969500626500104	1	0.5	0.000649871974707379911	0.000649871974707379911	0.000649871974707379911	0.000649871974707379911	0.000649871974707379911	0.000649871974707379911	0.000649871974707379911	0.000649871974707379911	0.000649871974707379911	0.000649871974707379911	0.000649871974707379911	0.000649871974707379911	0.000649871974707379911	0.000649871974707379911	0.000649871974707379911
80	-56609.7597971019859	49.5396913809315151	1	1	8	0.00970868655425400837	1	0.5	0.00064208020028837839	0.00064208020028837839	0.00064208020028837839	0.00064208020028837839	0.00064208020028837839	0.00064208020028837839	0.00064208020028837839	0.00064208020028837839	0.00064208020028837839	0.00064208020028837839	0.00064208020028837839	0.00064208020028837839	0.00064208020028837839	0.00064208020028837839	0.00064208020028837839
90	-56563.2051987526502	49.4910901939304537	1	1	8	0.0101339409570227034	1	0.5	0.000620680082140984092	0.000620680082140984092	0.000620680082140984092	0.000620680082140984092	0.000620680082140984092	0.000620680082140984092	0.000620680082140984092	0.000620680082140984092	0.000620680082140984092	0.000620680082140984092	0.000620680082140984092	0.000620680082140984092	0.000620680082140984092	0.000620680082140984092	0.000620680082140984092
100	-56516.6159682517755	54.2102659743434856	1	1	9	0.01059160860182283	1	0.5	0.000625580868456553996	0.000625580868456553996	0.000625580868456553996	0.000625580868456553996	0.000625580868456553996	0.000625580868456553996	0.000625580868456553996	0.000625580868456553996	0.000625580868456553996	0.000625580868456553996	0.000625580868456553996	0.000625580868456553996	0.000625580868456553996	0.000625580868456553996	0.000625580868456553996
