generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NodeHeightScaler	0.553411	4300	3470	6.5	0.0951298	
NodeHeightSlideBumpScaler	0.506788	3994	3887	6.5	0.114375	
NodeHeightSlideBumpSwapScaler	0.531529	4164	3670	6.5	0.10342	
RootHeightScaler	0.487334	8234	8662	1	0.0805792	
SplitLumpNodesRevJumpSampler	0.0463194	241	4962	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0440439	237	5144	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0169525	87	5045	4.33333	100	
TreeScaler	0.539452	670	572	1	0.0455763	
generation 7000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00596335	55	9168	6.5	none	
NeighborHeightNodeSwap	0.00530533	49	9187	6.5	none	
GlobalHeightSizeMixer	0.491325	708	733	1	0.0365955	
GlobalHeightSizeRateScaler	0.487737	696	731	1	0.0342461	
GlobalNodeHeightDirichletOperator	0.393509	7784	11997	1	0.000169393	
GlobalPopSizeScaler	0.499635	685	686	1	0.0639832	
NodeHeightDirichletOperator	0.662882	6072	3088	6.5	0.0074473	
NodeHeightMover	0.341248	3090	5965	6.5	0.000288529	
NodeHeightScaler	0.550557	5042	4116	6.5	0.0966058	
NodeHeightSlideBumpScaler	0.506766	4644	4520	6.5	0.115604	
NodeHeightSlideBumpSwapScaler	0.528209	4831	4315	6.5	0.104498	
RootHeightScaler	0.48511	9562	10149	1	0.0809173	
SplitLumpNodesRevJumpSampler	0.0451389	273	5775	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0436521	273	5981	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0162872	98	5919	4.33333	100	
TreeScaler	0.539916	771	657	1	0.0461856	
generation 8000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00562119	59	10437	6.5	none	
NeighborHeightNodeSwap	0.00531713	56	10476	6.5	none	
GlobalHeightSizeMixer	0.491175	807	836	1	0.0368689	
GlobalHeightSizeRateScaler	0.482906	791	847	1	0.0342995	
GlobalNodeHeightDirichletOperator	0.392044	8890	13786	1	0.000168276	
GlobalPopSizeScaler	0.486726	770	812	1	0.0635201	
NodeHeightDirichletOperator	0.658073	6892	3581	6.5	0.00763635	
NodeHeightMover	0.345928	3589	6786	6.5	0.000285999	
NodeHeightScaler	0.549971	5734	4692	6.5	0.0978901	
NodeHeightSlideBumpScaler	0.50319	5285	5218	6.5	0.115995	
NodeHeightSlideBumpSwapScaler	0.526583	5487	4933	6.5	0.105603	
RootHeightScaler	0.482112	10902	11711	1	0.0812364	
SplitLumpNodesRevJumpSampler	0.0449292	311	6611	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0435209	311	6835	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0165778	115	6822	4.33333	100	
TreeScaler	0.527329	849	761	1	0.0462139	
generation 9000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00593472	70	11725	6.5	none	
NeighborHeightNodeSwap	0.00491109	58	11752	6.5	none	
GlobalHeightSizeMixer	0.487978	893	937	1	0.0368344	
GlobalHeightSizeRateScaler	0.477977	879	960	1	0.0343685	
GlobalNodeHeightDirichletOperator	0.393537	10047	15483	1	0.000167386	
GlobalPopSizeScaler	0.47797	857	936	1	0.0633853	
NodeHeightDirichletOperator	0.655149	7679	4042	6.5	0.0077913	
NodeHeightMover	0.348879	4092	7637	6.5	0.000283635	
NodeHeightScaler	0.547179	6431	5322	6.5	0.098954	
NodeHeightSlideBumpScaler	0.504188	5959	5860	6.5	0.116886	
NodeHeightSlideBumpSwapScaler	0.525541	6173	5573	6.5	0.106434	
RootHeightScaler	0.480058	12217	13232	1	0.0815026	
SplitLumpNodesRevJumpSampler	0.0441705	344	7444	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0444889	356	7646	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0173248	136	7714	4.33333	100	
TreeScaler	0.522124	944	864	1	0.046651	
generation 10000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00587293	77	13034	6.5	none	
NeighborHeightNodeSwap	0.0045565	60	13108	6.5	none	
GlobalHeightSizeMixer	0.487769	997	1047	1	0.0369943	
GlobalHeightSizeRateScaler	0.477284	977	1070	1	0.0344952	
GlobalNodeHeightDirichletOperator	0.393468	11132	17160	1	0.000166731	
GlobalPopSizeScaler	0.474585	943	1044	1	0.0633502	
NodeHeightDirichletOperator	0.654309	8542	4513	6.5	0.00797373	
NodeHeightMover	0.350303	4562	8461	6.5	0.000281434	
NodeHeightScaler	0.545315	7100	5920	6.5	0.0997315	
NodeHeightSlideBumpScaler	0.504596	6642	6521	6.5	0.117627	
NodeHeightSlideBumpSwapScaler	0.524506	6849	6209	6.5	0.107199	
RootHeightScaler	0.477879	13480	14728	1	0.0816554	
SplitLumpNodesRevJumpSampler	0.044757	385	8217	4.33333	1	
SplitLumpNodesRevJumpSampler	0.044462	395	8489	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0169569	148	8580	4.33333	100	
TreeScaler	0.518812	1048	972	1	0.04698	
