generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_woodhousii	pop_size_nebulifer	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
0	-76367.1214485300152	11.207138281563898	1	1	1	0.00752352339217786121	1	0.5	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001
10	-74757.6924751234619	35.8600223012920409	1	1	6	0.00809979972229020809	1	0.5	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658
20	-74405.1087105100596	41.2735073988076948	1	1	7	0.00756804899899282853	1	0.5	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658	0.000531635086087088658
30	-73897.6896022959409	46.692125426937487	1	1	8	0.00712214697297789637	1	0.5	0.000551987644381677234	0.000551987644381677234	0.000551987644381677234	0.000551987644381677234	0.000551987644381677234	0.000551987644381677234	0.000551987644381677234	0.000551987644381677234	0.000551987644381677234	0.000551987644381677234	0.000551987644381677234	0.000551987644381677234	0.000551987644381677234	0.000551987644381677234
40	-73373.4183756769198	47.4923997537405	1	1	8	0.00624677920630364435	1	0.5	0.000560235693453252251	0.000560235693453252251	0.000560235693453252251	0.000560235693453252251	0.000560235693453252251	0.000560235693453252251	0.000560235693453252251	0.000560235693453252251	0.000560235693453252251	0.000560235693453252251	0.000560235693453252251	0.000560235693453252251	0.000560235693453252251	0.000560235693453252251
50	-72308.387975691192	47.7745398883531678	1	1	8	0.0071178123786172073	1	0.5	0.00059263239640612109	0.00059263239640612109	0.00059263239640612109	0.00059263239640612109	0.00059263239640612109	0.00059263239640612109	0.00059263239640612109	0.00059263239640612109	0.00059263239640612109	0.00059263239640612109	0.00059263239640612109	0.00059263239640612109	0.00059263239640612109	0.00059263239640612109
60	-71745.4548652171216	52.5900334696402609	1	1	9	0.00735308218894222248	1	0.5	0.000608378900292344169	0.000608378900292344169	0.000608378900292344169	0.000608378900292344169	0.000608378900292344169	0.000608378900292344169	0.000608378900292344169	0.000608378900292344169	0.000608378900292344169	0.000608378900292344169	0.000608378900292344169	0.000608378900292344169	0.000608378900292344169	0.000608378900292344169
70	-71652.5991972531338	47.8416352132486367	1	1	8	0.00685275812108348484	1	0.5	0.000643886917993802916	0.000643886917993802916	0.000643886917993802916	0.000643886917993802916	0.000643886917993802916	0.000643886917993802916	0.000643886917993802916	0.000643886917993802916	0.000643886917993802916	0.000643886917993802916	0.000643886917993802916	0.000643886917993802916	0.000643886917993802916	0.000643886917993802916
80	-71547.1845715972158	53.2392461726556618	1	1	9	0.00702037677359877363	1	0.5	0.000658264254875568118	0.000658264254875568118	0.000658264254875568118	0.000658264254875568118	0.000658264254875568118	0.000658264254875568118	0.000658264254875568118	0.000658264254875568118	0.000658264254875568118	0.000658264254875568118	0.000658264254875568118	0.000658264254875568118	0.000658264254875568118	0.000658264254875568118
90	-70970.1691358879034	59.5642761483734233	1	1	10	0.00752188549613566973	1	0.5	0.000687078513851055494	0.000687078513851055494	0.000687078513851055494	0.000687078513851055494	0.000687078513851055494	0.000687078513851055494	0.000687078513851055494	0.000687078513851055494	0.000687078513851055494	0.000687078513851055494	0.000687078513851055494	0.000687078513851055494	0.000687078513851055494	0.000687078513851055494
