generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NodeHeightScaler	0.56942	4495	3399	6.5	0.0942468	
NodeHeightSlideBumpScaler	0.556994	4344	3455	6.5	0.0972702	
NodeHeightSlideBumpSwapScaler	0.576977	4561	3344	6.5	0.0931276	
RootHeightScaler	0.551042	9306	7582	1	0.0707349	
SplitLumpNodesRevJumpSampler	0.0429268	220	4905	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0488359	258	5025	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0191979	101	5160	4.33333	100	
TreeScaler	0.537721	670	576	1	0.0471342	
generation 7000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00496868	46	9212	6.5	none	
NeighborHeightNodeSwap	0.00535045	50	9295	6.5	none	
GlobalHeightSizeMixer	0.441587	601	760	1	0.0414887	
GlobalHeightSizeRateScaler	0.48218	690	741	1	0.0325579	
GlobalNodeHeightDirichletOperator	0.335244	6610	13107	1	0.00021562	
GlobalPopSizeScaler	0.472184	679	759	1	0.0635543	
NodeHeightDirichletOperator	0.653266	5850	3105	6.5	0.00768428	
NodeHeightMover	0.260675	2393	6787	6.5	0.000382067	
NodeHeightScaler	0.56192	5150	4015	6.5	0.0953107	
NodeHeightSlideBumpScaler	0.550454	5035	4112	6.5	0.0983607	
NodeHeightSlideBumpSwapScaler	0.571225	5217	3916	6.5	0.0943801	
RootHeightScaler	0.54375	10757	9026	1	0.0714952	
SplitLumpNodesRevJumpSampler	0.0435292	260	5713	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0479884	297	5892	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0188923	117	6076	4.33333	100	
TreeScaler	0.530314	761	674	1	0.0474803	
generation 8000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00502132	53	10502	6.5	none	
NeighborHeightNodeSwap	0.00552641	59	10617	6.5	none	
GlobalHeightSizeMixer	0.43598	681	881	1	0.0413337	
GlobalHeightSizeRateScaler	0.477273	777	851	1	0.0325703	
GlobalNodeHeightDirichletOperator	0.336914	7621	14999	1	0.000212988	
GlobalPopSizeScaler	0.457729	758	898	1	0.062994	
NodeHeightDirichletOperator	0.65175	6685	3572	6.5	0.00788044	
NodeHeightMover	0.264796	2774	7702	6.5	0.000374623	
NodeHeightScaler	0.559377	5822	4586	6.5	0.0964487	
NodeHeightSlideBumpScaler	0.550363	5759	4705	6.5	0.0997417	
NodeHeightSlideBumpSwapScaler	0.565447	5901	4535	6.5	0.0953799	
RootHeightScaler	0.540038	12254	10437	1	0.0722343	
SplitLumpNodesRevJumpSampler	0.0440169	302	6559	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0484798	346	6791	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0188412	133	6926	4.33333	100	
TreeScaler	0.521283	845	776	1	0.0475655	
generation 9000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00532815	63	11761	6.5	none	
NeighborHeightNodeSwap	0.00534402	64	11912	6.5	none	
GlobalHeightSizeMixer	0.438955	773	988	1	0.0415328	
GlobalHeightSizeRateScaler	0.473713	865	961	1	0.0325495	
GlobalNodeHeightDirichletOperator	0.338297	8610	16841	1	0.000210728	
GlobalPopSizeScaler	0.449462	836	1024	1	0.062737	
NodeHeightDirichletOperator	0.647125	7484	4081	6.5	0.0080584	
NodeHeightMover	0.268477	3164	8621	6.5	0.000368224	
NodeHeightScaler	0.555413	6490	5195	6.5	0.0974466	
NodeHeightSlideBumpScaler	0.549241	6514	5346	6.5	0.100853	
NodeHeightSlideBumpSwapScaler	0.561777	6602	5150	6.5	0.0964321	
RootHeightScaler	0.538262	13723	11772	1	0.072925	
SplitLumpNodesRevJumpSampler	0.042756	332	7433	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0473875	380	7639	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0187865	148	7730	4.33333	100	
TreeScaler	0.517906	940	875	1	0.0478083	
generation 10000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00524795	69	13079	6.5	none	
NeighborHeightNodeSwap	0.0050486	67	13204	6.5	none	
GlobalHeightSizeMixer	0.436214	848	1096	1	0.041407	
GlobalHeightSizeRateScaler	0.473245	964	1073	1	0.03276	
GlobalNodeHeightDirichletOperator	0.33991	9613	18668	1	0.000208716	
GlobalPopSizeScaler	0.458133	952	1126	1	0.0630543	
NodeHeightDirichletOperator	0.644921	8324	4583	6.5	0.00821644	
NodeHeightMover	0.270276	3529	9528	6.5	0.000362871	
NodeHeightScaler	0.551472	7157	5821	6.5	0.098268	
NodeHeightSlideBumpScaler	0.544965	7181	5996	6.5	0.101533	
NodeHeightSlideBumpSwapScaler	0.558736	7301	5766	6.5	0.0973993	
RootHeightScaler	0.534945	15140	13162	1	0.0734167	
SplitLumpNodesRevJumpSampler	0.0422535	366	8296	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0464173	412	8464	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0187836	164	8567	4.33333	100	
TreeScaler	0.521092	1050	965	1	0.0482344	
