generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00841751	10	1178	6	none	
NeighborHeightNodeSwap	0.00506757	6	1178	6	none	
GlobalHeightSizeMixer	0.468085	88	100	1	0.0405463	
GlobalHeightSizeRateScaler	0.52356	100	91	1	0.0299086	
GlobalNodeHeightDirichletOperator	0.380988	1018	1654	1	0.00020406	
GlobalPopSizeScaler	0.455959	88	105	1	0.0510819	
NodeHeightDirichletOperator	0.698529	855	369	6	0.00531634	
NodeHeightMover	0.308475	364	816	6	0.000251719	
NodeHeightScaler	0.6475	777	423	6	0.0702038	
NodeHeightSlideBumpScaler	0.609796	747	478	6	0.073095	
NodeHeightSlideBumpSwapScaler	0.689024	791	357	6	0.0507097	
RootHeightScaler	0.557407	1505	1195	1	0.0368199	
SplitLumpNodesRevJumpSampler	0.0613932	52	795	4	1	
SplitLumpNodesRevJumpSampler	0.0557576	46	779	4	10	
SplitLumpNodesRevJumpSampler	0.0207065	17	804	4	100	
TreeScaler	0.614583	118	74	1	0.0380676	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00454545	11	2409	6	none	
NeighborHeightNodeSwap	0.00297872	7	2343	6	none	
GlobalHeightSizeMixer	0.43617	164	212	1	0.0395442	
GlobalHeightSizeRateScaler	0.479487	187	203	1	0.0307271	
GlobalNodeHeightDirichletOperator	0.372298	1946	3281	1	0.000195311	
GlobalPopSizeScaler	0.473945	191	212	1	0.0532707	
NodeHeightDirichletOperator	0.684791	1675	771	6	0.00625552	
NodeHeightMover	0.339353	808	1573	6	0.000241901	
NodeHeightScaler	0.604574	1454	951	6	0.0768821	
NodeHeightSlideBumpScaler	0.583231	1426	1019	6	0.0796925	
NodeHeightSlideBumpSwapScaler	0.67619	1562	748	6	0.0600422	
RootHeightScaler	0.540494	2843	2417	1	0.039051	
SplitLumpNodesRevJumpSampler	0.0512346	83	1537	4	1	
SplitLumpNodesRevJumpSampler	0.0386978	63	1565	4	10	
SplitLumpNodesRevJumpSampler	0.0137845	22	1574	4	100	
TreeScaler	0.579196	245	178	1	0.0414058	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00438717	16	3631	6	none	
NeighborHeightNodeSwap	0.00311086	11	3525	6	none	
GlobalHeightSizeMixer	0.407733	232	337	1	0.0381168	
GlobalHeightSizeRateScaler	0.502555	295	292	1	0.0317747	
GlobalNodeHeightDirichletOperator	0.376486	2946	4879	1	0.000190857	
GlobalPopSizeScaler	0.467742	290	330	1	0.0534672	
NodeHeightDirichletOperator	0.672727	2442	1188	6	0.00674946	
NodeHeightMover	0.368761	1315	2251	6	0.000240396	
NodeHeightScaler	0.593078	2125	1458	6	0.0807368	
NodeHeightSlideBumpScaler	0.581215	2104	1516	6	0.0840743	
NodeHeightSlideBumpSwapScaler	0.660292	2348	1208	6	0.0652182	
RootHeightScaler	0.524651	4129	3741	1	0.0399191	
SplitLumpNodesRevJumpSampler	0.0416839	101	2322	4	1	
SplitLumpNodesRevJumpSampler	0.036855	90	2352	4	10	
SplitLumpNodesRevJumpSampler	0.0130034	31	2353	4	100	
TreeScaler	0.558544	353	279	1	0.0430492	
generation 4000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00369762	18	4850	6	none	
NeighborHeightNodeSwap	0.00316056	15	4731	6	none	
GlobalHeightSizeMixer	0.403576	316	467	1	0.0379193	
GlobalHeightSizeRateScaler	0.489796	384	400	1	0.031877	
GlobalNodeHeightDirichletOperator	0.381512	3962	6423	1	0.000188264	
GlobalPopSizeScaler	0.465668	373	428	1	0.0540913	
NodeHeightDirichletOperator	0.660486	3206	1648	6	0.0071561	
NodeHeightMover	0.377806	1801	2966	6	0.000238487	
NodeHeightScaler	0.584374	2760	1963	6	0.083328	
NodeHeightSlideBumpScaler	0.572955	2788	2078	6	0.0868675	
NodeHeightSlideBumpSwapScaler	0.646296	3088	1690	6	0.0684686	
RootHeightScaler	0.521093	5435	4995	1	0.0406361	
SplitLumpNodesRevJumpSampler	0.0397022	128	3096	4	1	
SplitLumpNodesRevJumpSampler	0.0407407	132	3108	4	10	
SplitLumpNodesRevJumpSampler	0.0123653	39	3115	4	100	
TreeScaler	0.553939	457	368	1	0.0440072	
generation 5000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.003813	23	6009	6	none	
NeighborHeightNodeSwap	0.00318899	19	5939	6	none	
GlobalHeightSizeMixer	0.419517	417	577	1	0.0379471	
GlobalHeightSizeRateScaler	0.480243	474	513	1	0.0320217	
GlobalNodeHeightDirichletOperator	0.378754	4906	8047	1	0.000185488	
GlobalPopSizeScaler	0.461388	472	551	1	0.0540196	
NodeHeightDirichletOperator	0.659768	3985	2055	6	0.00747083	
NodeHeightMover	0.381	2270	3688	6	0.000236172	
NodeHeightScaler	0.576701	3391	2489	6	0.0851171	
NodeHeightSlideBumpScaler	0.567208	3456	2637	6	0.0888539	
NodeHeightSlideBumpSwapScaler	0.637364	3821	2174	6	0.0710471	
RootHeightScaler	0.515768	6722	6311	1	0.0410771	
SplitLumpNodesRevJumpSampler	0.0348692	140	3875	4	1	
SplitLumpNodesRevJumpSampler	0.0395031	159	3866	4	10	
SplitLumpNodesRevJumpSampler	0.0111421	44	3905	4	100	
TreeScaler	0.553623	573	462	1	0.0452988	
generation 6000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00358423	26	7228	6	none	
NeighborHeightNodeSwap	0.00266704	19	7105	6	none	
GlobalHeightSizeMixer	0.417443	493	688	1	0.0376434	
GlobalHeightSizeRateScaler	0.489487	582	607	1	0.032452	
GlobalNodeHeightDirichletOperator	0.383413	5987	9628	1	0.000183937	
GlobalPopSizeScaler	0.465517	567	651	1	0.0541707	
NodeHeightDirichletOperator	0.652444	4725	2517	6	0.00772108	
NodeHeightMover	0.388051	2780	4384	6	0.000235462	
NodeHeightScaler	0.570396	4023	3030	6	0.0867877	
NodeHeightSlideBumpScaler	0.562594	4103	3190	6	0.0905842	
NodeHeightSlideBumpSwapScaler	0.630857	4510	2639	6	0.0730742	
RootHeightScaler	0.508793	7985	7709	1	0.0414218	
SplitLumpNodesRevJumpSampler	0.0331744	160	4663	4	1	
SplitLumpNodesRevJumpSampler	0.0389476	188	4639	4	10	
SplitLumpNodesRevJumpSampler	0.0111181	53	4714	4	100	
TreeScaler	0.549878	678	555	1	0.0461181	
generation 7000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
