generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0106645	13	1206	6	none	
NeighborHeightNodeSwap	0.00630915	8	1260	6	none	
GlobalHeightSizeMixer	0.462312	92	107	1	0.032553	
GlobalHeightSizeRateScaler	0.597015	120	81	1	0.0300255	
GlobalNodeHeightDirichletOperator	0.395192	1052	1610	1	0.000193321	
GlobalPopSizeScaler	0.473118	88	98	1	0.0499367	
NodeHeightDirichletOperator	0.69025	800	359	6	0.00499941	
NodeHeightMover	0.213713	240	883	6	0.000507819	
NodeHeightScaler	0.573617	674	501	6	0.0839424	
NodeHeightSlideBumpScaler	0.629097	787	464	6	0.0727956	
NodeHeightSlideBumpSwapScaler	0.677502	792	377	6	0.0645297	
RootHeightScaler	0.469496	1239	1400	1	0.0449658	
SplitLumpNodesRevJumpSampler	0.0506173	41	769	4	1	
SplitLumpNodesRevJumpSampler	0.0570388	47	777	4	10	
SplitLumpNodesRevJumpSampler	0.0135135	11	803	4	100	
TreeScaler	0.609137	120	77	1	0.0383954	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00660338	16	2407	6	none	
NeighborHeightNodeSwap	0.00531697	13	2432	6	none	
GlobalHeightSizeMixer	0.434896	167	217	1	0.0323971	
GlobalHeightSizeRateScaler	0.514563	212	200	1	0.0303328	
GlobalNodeHeightDirichletOperator	0.391593	2068	3213	1	0.000188123	
GlobalPopSizeScaler	0.479784	178	193	1	0.0510509	
NodeHeightDirichletOperator	0.678298	1594	756	6	0.0059492	
NodeHeightMover	0.227176	535	1820	6	0.000438068	
NodeHeightScaler	0.564686	1340	1033	6	0.0898415	
NodeHeightSlideBumpScaler	0.602041	1475	975	6	0.0798694	
NodeHeightSlideBumpSwapScaler	0.636671	1507	860	6	0.0719858	
RootHeightScaler	0.460627	2410	2822	1	0.0451965	
SplitLumpNodesRevJumpSampler	0.0414663	69	1595	4	1	
SplitLumpNodesRevJumpSampler	0.0439698	70	1522	4	10	
SplitLumpNodesRevJumpSampler	0.0150094	24	1575	4	100	
TreeScaler	0.563107	232	180	1	0.0414624	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00658256	24	3622	6	none	
NeighborHeightNodeSwap	0.00414136	15	3607	6	none	
GlobalHeightSizeMixer	0.440476	259	329	1	0.0324894	
GlobalHeightSizeRateScaler	0.486799	295	311	1	0.0304362	
GlobalNodeHeightDirichletOperator	0.387023	3066	4856	1	0.000184001	
GlobalPopSizeScaler	0.479501	269	292	1	0.0523361	
NodeHeightDirichletOperator	0.667139	2353	1174	6	0.00650971	
NodeHeightMover	0.23761	839	2692	6	0.000407457	
NodeHeightScaler	0.539766	1941	1655	6	0.0920782	
NodeHeightSlideBumpScaler	0.586681	2132	1502	6	0.0837057	
NodeHeightSlideBumpSwapScaler	0.623132	2252	1362	6	0.0764456	
RootHeightScaler	0.460125	3606	4231	1	0.0455157	
SplitLumpNodesRevJumpSampler	0.0417349	102	2342	4	1	
SplitLumpNodesRevJumpSampler	0.0449251	108	2296	4	10	
SplitLumpNodesRevJumpSampler	0.0151515	37	2405	4	100	
TreeScaler	0.539604	327	279	1	0.042562	
generation 4000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00613246	30	4862	6	none	
NeighborHeightNodeSwap	0.00416233	20	4785	6	none	
GlobalHeightSizeMixer	0.456662	353	420	1	0.0325436	
GlobalHeightSizeRateScaler	0.48625	389	411	1	0.0309081	
GlobalNodeHeightDirichletOperator	0.389262	4111	6450	1	0.00018175	
GlobalPopSizeScaler	0.483957	362	386	1	0.0529184	
NodeHeightDirichletOperator	0.661232	3123	1600	6	0.00689807	
NodeHeightMover	0.242997	1145	3567	6	0.000387181	
NodeHeightScaler	0.531518	2538	2237	6	0.0939857	
NodeHeightSlideBumpScaler	0.575345	2791	2060	6	0.0862332	
NodeHeightSlideBumpSwapScaler	0.611331	2935	1866	6	0.0793222	
RootHeightScaler	0.460899	4827	5646	1	0.0457619	
SplitLumpNodesRevJumpSampler	0.0378113	123	3130	4	1	
SplitLumpNodesRevJumpSampler	0.04116	132	3075	4	10	
SplitLumpNodesRevJumpSampler	0.0135011	44	3215	4	100	
TreeScaler	0.521739	420	385	1	0.0427232	
generation 5000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0052459	32	6068	6	none	
NeighborHeightNodeSwap	0.00400534	24	5968	6	none	
GlobalHeightSizeMixer	0.457084	442	525	1	0.0327895	
GlobalHeightSizeRateScaler	0.482213	488	524	1	0.0311581	
GlobalNodeHeightDirichletOperator	0.393152	5144	7940	1	0.000180444	
GlobalPopSizeScaler	0.479495	456	495	1	0.0530297	
NodeHeightDirichletOperator	0.656403	3880	2031	6	0.00720157	
NodeHeightMover	0.255081	1506	4398	6	0.000374863	
NodeHeightScaler	0.527025	3130	2809	6	0.0956601	
NodeHeightSlideBumpScaler	0.569898	3457	2609	6	0.0883806	
NodeHeightSlideBumpSwapScaler	0.599474	3649	2438	6	0.0814869	
RootHeightScaler	0.461313	5992	6997	1	0.0459704	
SplitLumpNodesRevJumpSampler	0.0381832	153	3854	4	1	
SplitLumpNodesRevJumpSampler	0.0394274	157	3825	4	10	
SplitLumpNodesRevJumpSampler	0.0125988	51	3997	4	100	
TreeScaler	0.525604	544	491	1	0.0436069	
generation 6000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00524862	38	7202	6	none	
NeighborHeightNodeSwap	0.00346933	25	7181	6	none	
GlobalHeightSizeMixer	0.451335	524	637	1	0.0325293	
GlobalHeightSizeRateScaler	0.48562	591	626	1	0.0314616	
GlobalNodeHeightDirichletOperator	0.394673	6209	9523	1	0.000179078	
GlobalPopSizeScaler	0.471096	546	613	1	0.0530982	
NodeHeightDirichletOperator	0.653081	4663	2477	6	0.00749405	
NodeHeightMover	0.261606	1854	5233	6	0.000364549	
NodeHeightScaler	0.522673	3723	3400	6	0.0967341	
NodeHeightSlideBumpScaler	0.568563	4138	3140	6	0.0902603	
NodeHeightSlideBumpSwapScaler	0.593304	4324	2964	6	0.0831947	
RootHeightScaler	0.460335	7178	8415	1	0.0460896	
SplitLumpNodesRevJumpSampler	0.0357217	172	4643	4	1	
SplitLumpNodesRevJumpSampler	0.0368596	177	4625	4	10	
SplitLumpNodesRevJumpSampler	0.0128258	62	4772	4	100	
TreeScaler	0.521597	640	587	1	0.0441658	
generation 7000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00473429	40	8409	6	none	
NeighborHeightNodeSwap	0.00333452	28	8369	6	none	
GlobalHeightSizeMixer	0.445347	603	751	1	0.0325151	
GlobalHeightSizeRateScaler	0.483322	681	728	1	0.0315671	
GlobalNodeHeightDirichletOperator	0.391803	7141	11085	1	0.00017772	
GlobalPopSizeScaler	0.470293	657	740	1	0.0533029	
NodeHeightDirichletOperator	0.64566	5430	2980	6	0.00773299	
NodeHeightMover	0.267846	2225	6082	6	0.000356291	
NodeHeightScaler	0.519395	4325	4002	6	0.0976158	
NodeHeightSlideBumpScaler	0.561538	4745	3705	6	0.0913766	
NodeHeightSlideBumpSwapScaler	0.588422	5001	3498	6	0.0847382	
RootHeightScaler	0.458877	8302	9790	1	0.0461369	
SplitLumpNodesRevJumpSampler	0.0338621	190	5421	4	1	
SplitLumpNodesRevJumpSampler	0.0372894	208	5370	4	10	
SplitLumpNodesRevJumpSampler	0.0129357	72	5494	4	100	
TreeScaler	0.523644	753	685	1	0.0448109	
generation 8000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00426063	41	9582	6	none	
NeighborHeightNodeSwap	0.00312467	30	9571	6	none	
GlobalHeightSizeMixer	0.444015	690	864	1	0.0325849	
GlobalHeightSizeRateScaler	0.476636	765	840	1	0.0315619	
GlobalNodeHeightDirichletOperator	0.392431	8192	12683	1	0.000176878	
GlobalPopSizeScaler	0.469527	755	853	1	0.0532954	
NodeHeightDirichletOperator	0.641196	6176	3456	6	0.00791738	
NodeHeightMover	0.271819	2585	6925	6	0.000349588	
NodeHeightScaler	0.513053	4874	4626	6	0.0979643	
NodeHeightSlideBumpScaler	0.559391	5397	4251	6	0.0926721	
NodeHeightSlideBumpSwapScaler	0.579921	5609	4063	6	0.085746	
RootHeightScaler	0.457584	9488	11247	1	0.0461917	
SplitLumpNodesRevJumpSampler	0.0338006	217	6203	4	1	
SplitLumpNodesRevJumpSampler	0.0385938	247	6153	4	10	
SplitLumpNodesRevJumpSampler	0.0125098	80	6315	4	100	
TreeScaler	0.524213	866	786	1	0.0451881	
generation 9000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0042565	46	10761	6	none	
NeighborHeightNodeSwap	0.00324374	35	10755	6	none	
GlobalHeightSizeMixer	0.444381	775	969	1	0.0326556	
GlobalHeightSizeRateScaler	0.477925	866	946	1	0.0316445	
GlobalNodeHeightDirichletOperator	0.393409	9275	14301	1	0.000176003	
GlobalPopSizeScaler	0.471277	845	948	1	0.0534277	
NodeHeightDirichletOperator	0.638247	6902	3912	6	0.00806589	
NodeHeightMover	0.274197	2935	7769	6	0.000343325	
NodeHeightScaler	0.51151	5466	5220	6	0.0985979	
NodeHeightSlideBumpScaler	0.553123	5987	4837	6	0.0933583	
NodeHeightSlideBumpSwapScaler	0.577643	6294	4602	6	0.0869242	
RootHeightScaler	0.459168	10745	12656	1	0.0463297	
SplitLumpNodesRevJumpSampler	0.0321346	235	7078	4	1	
SplitLumpNodesRevJumpSampler	0.0364215	263	6958	4	10	
SplitLumpNodesRevJumpSampler	0.0115987	83	7073	4	100	
TreeScaler	0.524688	967	876	1	0.0455066	
generation 10000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0039183	47	11948	6	none	
NeighborHeightNodeSwap	0.00315929	38	11990	6	none	
GlobalHeightSizeMixer	0.447016	869	1075	1	0.0326933	
GlobalHeightSizeRateScaler	0.474788	951	1052	1	0.0316128	
GlobalNodeHeightDirichletOperator	0.393378	10277	15848	1	0.000175176	
GlobalPopSizeScaler	0.470322	935	1053	1	0.0535381	
NodeHeightDirichletOperator	0.632938	7625	4422	6	0.00820715	
NodeHeightMover	0.279957	3355	8629	6	0.000338914	
NodeHeightScaler	0.507655	6035	5853	6	0.0990479	
NodeHeightSlideBumpScaler	0.550899	6586	5369	6	0.0943158	
NodeHeightSlideBumpSwapScaler	0.572989	6924	5160	6	0.0877546	
RootHeightScaler	0.459035	11934	14064	1	0.0463858	
SplitLumpNodesRevJumpSampler	0.0321587	261	7855	4	1	
SplitLumpNodesRevJumpSampler	0.0372632	299	7725	4	10	
