generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
SplitLumpNodesRevJumpSampler	0.0356691	169	4569	4	1	
SplitLumpNodesRevJumpSampler	0.044856	218	4642	4	10	
SplitLumpNodesRevJumpSampler	0.00911596	43	4674	4	100	
TreeScaler	0.515586	612	575	1	0.0469177	
generation 7000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00235266	20	8481	6	none	
NeighborHeightNodeSwap	0.00322735	27	8339	6	none	
GlobalHeightSizeMixer	0.437728	601	772	1	0.0340145	
GlobalHeightSizeRateScaler	0.470836	670	753	1	0.0303659	
GlobalNodeHeightDirichletOperator	0.323001	5856	12274	1	0.000224062	
GlobalPopSizeScaler	0.482285	667	716	1	0.0540008	
NodeHeightDirichletOperator	0.648235	5381	2920	6	0.0075375	
NodeHeightMover	0.225386	1900	6530	6	0.000409961	
NodeHeightScaler	0.530065	4487	3978	6	0.0981553	
NodeHeightSlideBumpScaler	0.594607	5006	3413	6	0.0825674	
NodeHeightSlideBumpSwapScaler	0.585964	4918	3475	6	0.0825243	
RootHeightScaler	0.421586	7648	10493	1	0.0488856	
SplitLumpNodesRevJumpSampler	0.0349764	193	5325	4	1	
SplitLumpNodesRevJumpSampler	0.044916	254	5401	4	10	
SplitLumpNodesRevJumpSampler	0.00903179	50	5486	4	100	
TreeScaler	0.511577	707	675	1	0.0470238	
generation 8000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00215252	21	9735	6	none	
NeighborHeightNodeSwap	0.0030392	29	9513	6	none	
GlobalHeightSizeMixer	0.438365	697	893	1	0.0341335	
GlobalHeightSizeRateScaler	0.470158	772	870	1	0.0303451	
GlobalNodeHeightDirichletOperator	0.325411	6736	13964	1	0.000221309	
GlobalPopSizeScaler	0.473418	748	832	1	0.0538784	
NodeHeightDirichletOperator	0.647251	6134	3343	6	0.00773131	
NodeHeightMover	0.228951	2208	7436	6	0.000399958	
NodeHeightScaler	0.52742	5078	4550	6	0.0989579	
NodeHeightSlideBumpScaler	0.590555	5690	3945	6	0.083929	
NodeHeightSlideBumpSwapScaler	0.578821	5559	4045	6	0.0835216	
RootHeightScaler	0.422768	8742	11936	1	0.0488526	
SplitLumpNodesRevJumpSampler	0.034264	216	6088	4	1	
SplitLumpNodesRevJumpSampler	0.0451303	291	6157	4	10	
SplitLumpNodesRevJumpSampler	0.00839272	53	6262	4	100	
TreeScaler	0.509755	810	779	1	0.0472778	
generation 9000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00208882	23	10988	6	none	
NeighborHeightNodeSwap	0.00327225	35	10661	6	none	
GlobalHeightSizeMixer	0.441325	786	995	1	0.0341353	
GlobalHeightSizeRateScaler	0.471831	871	975	1	0.030543	
GlobalNodeHeightDirichletOperator	0.326734	7592	15644	1	0.000218854	
GlobalPopSizeScaler	0.47205	836	935	1	0.0540093	
NodeHeightDirichletOperator	0.643182	6929	3844	6	0.00790911	
NodeHeightMover	0.233579	2532	8308	6	0.000391663	
NodeHeightScaler	0.524012	5674	5154	6	0.0996089	
NodeHeightSlideBumpScaler	0.584711	6333	4498	6	0.0850342	
NodeHeightSlideBumpSwapScaler	0.572816	6191	4617	6	0.0843936	
RootHeightScaler	0.423214	9830	13397	1	0.0487777	
SplitLumpNodesRevJumpSampler	0.0330089	234	6855	4	1	
SplitLumpNodesRevJumpSampler	0.0426	310	6967	4	10	
SplitLumpNodesRevJumpSampler	0.00835103	59	7006	4	100	
TreeScaler	0.501404	893	888	1	0.0474107	
generation 10000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00195695	24	12240	6	none	
NeighborHeightNodeSwap	0.00293624	35	11885	6	none	
GlobalHeightSizeMixer	0.441989	880	1111	1	0.0341952	
GlobalHeightSizeRateScaler	0.474222	975	1081	1	0.0307281	
GlobalNodeHeightDirichletOperator	0.330146	8529	17305	1	0.00021675	
GlobalPopSizeScaler	0.46999	924	1042	1	0.0541866	
NodeHeightDirichletOperator	0.640468	7660	4300	6	0.00806339	
NodeHeightMover	0.238441	2857	9125	6	0.000385335	
NodeHeightScaler	0.520116	6257	5773	6	0.100047	
NodeHeightSlideBumpScaler	0.577454	6941	5079	6	0.0857318	
NodeHeightSlideBumpSwapScaler	0.569319	6825	5163	6	0.085286	
RootHeightScaler	0.423627	10955	14905	1	0.0487273	
SplitLumpNodesRevJumpSampler	0.0328222	259	7632	4	1	
SplitLumpNodesRevJumpSampler	0.0403504	327	7777	4	10	
SplitLumpNodesRevJumpSampler	0.00789206	62	7794	4	100	
TreeScaler	0.496461	982	996	1	0.0475833	
