generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_woodhousii	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
0	-93998.7567391907651	10.686934662492078	1	1	1	0.0127255595828960587	1	0.5	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001
10	-90394.632654971414	23.7263581607297702	1	1	4	0.0141411865951650596	1	0.5	0.000509422518546177503	0.000509422518546177503	0.000509422518546177503	0.000509422518546177503	0.000509422518546177503	0.000509422518546177503	0.000509422518546177503	0.000509422518546177503	0.000509422518546177503	0.000509422518546177503	0.000509422518546177503	0.000509422518546177503	0.000509422518546177503
20	-89724.8312124211516	42.457944234994514	1	1	8	0.0144726322972530096	1	0.5	0.000530361123510530064	0.000530361123510530064	0.000530361123510530064	0.000530361123510530064	0.000530361123510530064	0.000530361123510530064	0.000530361123510530064	0.000530361123510530064	0.000530361123510530064	0.000530361123510530064	0.000530361123510530064	0.000530361123510530064	0.000530361123510530064
30	-88682.8304801528575	52.5315755587498785	1	1	10	0.0132288850448072214	1	0.5	0.000555883406823622496	0.000555883406823622496	0.000555883406823622496	0.000555883406823622496	0.000555883406823622496	0.000555883406823622496	0.000555883406823622496	0.000555883406823622496	0.000555883406823622496	0.000555883406823622496	0.000555883406823622496	0.000555883406823622496	0.000555883406823622496
40	-87402.5812555857119	49.5568422692909749	1	1	9	0.0115664645114065684	1	0.5	0.000569691340068186709	0.000569691340068186709	0.000569691340068186709	0.000569691340068186709	0.000569691340068186709	0.000569691340068186709	0.000569691340068186709	0.000569691340068186709	0.000569691340068186709	0.000569691340068186709	0.000569691340068186709	0.000569691340068186709	0.000569691340068186709
50	-86722.2148501298361	51.1505595961856159	1	1	9	0.0101724505649825187	1	0.5	0.000580763397612122896	0.000580763397612122896	0.000580763397612122896	0.000580763397612122896	0.000580763397612122896	0.000580763397612122896	0.000580763397612122896	0.000580763397612122896	0.000580763397612122896	0.000580763397612122896	0.000580763397612122896	0.000580763397612122896	0.000580763397612122896
60	-86197.2020723214373	51.9374035744647813	1	1	9	0.0100473253748949217	1	0.5	0.000596537916001666727	0.000596537916001666727	0.000596537916001666727	0.000596537916001666727	0.000596537916001666727	0.000596537916001666727	0.000596537916001666727	0.000596537916001666727	0.000596537916001666727	0.000596537916001666727	0.000596537916001666727	0.000596537916001666727	0.000596537916001666727
70	-85658.1019039865059	52.1606130629461688	1	1	9	0.00890641514045104922	1	0.5	0.000618999431567569293	0.000618999431567569293	0.000618999431567569293	0.000618999431567569293	0.000618999431567569293	0.000618999431567569293	0.000618999431567569293	0.000618999431567569293	0.000618999431567569293	0.000618999431567569293	0.000618999431567569293	0.000618999431567569293	0.000618999431567569293
80	-85258.5211699753563	59.8806720051160255	1	1	10	0.00799737539876832666	1	0.5	0.000622699999722208983	0.000622699999722208983	0.000622699999722208983	0.000622699999722208983	0.000622699999722208983	0.000622699999722208983	0.000622699999722208983	0.000622699999722208983	0.000622699999722208983	0.000622699999722208983	0.000622699999722208983	0.000622699999722208983	0.000622699999722208983
90	-84964.8646779651754	53.9220093175932931	1	1	9	0.00838408078920071555	1	0.5	0.000667271710459426846	0.000667271710459426846	0.000667271710459426846	0.000667271710459426846	0.000667271710459426846	0.000667271710459426846	0.000667271710459426846	0.000667271710459426846	0.000667271710459426846	0.000667271710459426846	0.000667271710459426846	0.000667271710459426846	0.000667271710459426846
