latitude,longitude,scientific_name
50.1713966667,-97.1351778333,Anaxyrus hemiophrys
50.5577366419,-96.6300207004,Anaxyrus hemiophrys
46.8370466667,-96.7370833333,Anaxyrus hemiophrys
46.8370966667,-96.7370133333,Anaxyrus hemiophrys
46.83712,-96.736855,Anaxyrus hemiophrys
46.83713,-96.736855,Anaxyrus hemiophrys
46.837155,-96.7367383333,Anaxyrus hemiophrys
46.8370283333,-96.7364716667,Anaxyrus hemiophrys
54.0149167927,-113.2931547473,Anaxyrus hemiophrys
50.4412897567,-96.9576490659,Anaxyrus hemiophrys
50.1735519164,-97.1336651365,Anaxyrus hemiophrys
50.4283718412,-97.9616524993,Anaxyrus hemiophrys
50.4283120197,-97.9619443236,Anaxyrus hemiophrys
50.2523607198,-98.1029121009,Anaxyrus hemiophrys
51.1639328003,-106.8209533691,Anaxyrus hemiophrys
50.2704811096,-98.0801315308,Anaxyrus hemiophrys
50.1707873051,-97.1415253356,Anaxyrus hemiophrys
50.9756043423,-106.8860108381,Anaxyrus hemiophrys
50.1736916122,-97.1336229748,Anaxyrus hemiophrys
52.58296966,-110.00841579,Anaxyrus hemiophrys
46.4308033333,-97.6832883333,Anaxyrus hemiophrys
47.3885706207,-96.2829681673,Anaxyrus hemiophrys
49.6829519495,-99.2912518233,Anaxyrus hemiophrys
50.4289633333,-97.9622583333,Anaxyrus hemiophrys
44.8939877423,-97.2419277952,Anaxyrus hemiophrys
50.0878701674,-96.8065419524,Anaxyrus hemiophrys
50.1724906305,-97.1350162849,Anaxyrus hemiophrys
46.8669583333,-96.4545966667,Anaxyrus hemiophrys
46.8663783333,-96.44973,Anaxyrus hemiophrys
46.8667675328,-96.4539274084,Anaxyrus hemiophrys
46.8690032959,-96.4532928467,Anaxyrus hemiophrys
46.8674087524,-96.4542617798,Anaxyrus hemiophrys
46.8690447931,-96.4534258573,Anaxyrus hemiophrys
46.8671882977,-96.4535536808,Anaxyrus hemiophrys
50.1715553516,-97.1303279459,Anaxyrus hemiophrys
46.8668533333,-96.453925,Anaxyrus hemiophrys
46.8667616667,-96.4546283333,Anaxyrus hemiophrys
50.1712147979,-97.1297832645,Anaxyrus hemiophrys
46.8661124528,-96.4529230462,Anaxyrus hemiophrys
46.8669416098,-96.4538458995,Anaxyrus hemiophrys
46.8662415372,-96.4539258132,Anaxyrus hemiophrys
46.8644120462,-96.4709843179,Anaxyrus hemiophrys
49.8250345268,-97.2067260081,Anaxyrus hemiophrys
45.9898488,-95.9744332,Anaxyrus hemiophrys
51.5031083333,-102.6498033333,Anaxyrus hemiophrys
51.0360799731,-106.4939526751,Anaxyrus hemiophrys
46.18,-95.86,Anaxyrus hemiophrys
48.4712437264,-97.7039339108,Anaxyrus hemiophrys
48.4715834242,-97.7036948305,Anaxyrus hemiophrys
50.173826,-97.132959,Anaxyrus hemiophrys
50.5694334668,-96.5966050033,Anaxyrus hemiophrys
53.7608608,-98.8138762,Anaxyrus hemiophrys
45.7097094,-97.4482089,Anaxyrus hemiophrys
49.681187,-99.1757099722,Anaxyrus hemiophrys
49.671474,-99.1829129722,Anaxyrus hemiophrys
49.6206579722,-99.2460609722,Anaxyrus hemiophrys
54.0078478861,-113.2715191082,Anaxyrus hemiophrys
56.9955203893,-111.5787074715,Anaxyrus hemiophrys
50.1750733665,-97.1373199005,Anaxyrus hemiophrys
49.5978283333,-97.0562583333,Anaxyrus hemiophrys
46.3638416667,-98.07,Anaxyrus hemiophrys
50.1738888889,-97.1338416667,Anaxyrus hemiophrys
44.85121167,-97.21247833,Anaxyrus hemiophrys
50.0093765258,-97.1310272217,Anaxyrus hemiophrys
46.76760833,-96.78438667,Anaxyrus hemiophrys
49.027115979,-95.9180928801,Anaxyrus hemiophrys
45.28896333,-96.48680833,Anaxyrus hemiophrys
50.0052272169,-97.1454053083,Anaxyrus hemiophrys
45.0393486405,-97.5146396738,Anaxyrus hemiophrys
47.19084718,-97.21309137,Anaxyrus hemiophrys
50.7131056209,-97.0084662271,Anaxyrus hemiophrys
44.9103,-97.12796117,Anaxyrus hemiophrys
45.57658382,-95.87916697,Anaxyrus hemiophrys
46.450586851,-96.7237832849,Anaxyrus hemiophrys
48.5636208974,-97.1808687099,Anaxyrus hemiophrys
51.5023416667,-102.6512616667,Anaxyrus hemiophrys
51.5013,-102.6580883333,Anaxyrus hemiophrys
50.5729586453,-96.5932261571,Anaxyrus hemiophrys
60.1790361234,-113.0099841222,Anaxyrus hemiophrys
50.2867185229,-98.0692041715,Anaxyrus hemiophrys
45.5347219955,-98.6100360324,Anaxyrus hemiophrys
51.0621945,-106.525275,Anaxyrus hemiophrys
57.434545,-111.584305,Anaxyrus hemiophrys
47.8861405639,-96.2719441975,Anaxyrus hemiophrys
50.2684360397,-98.0823326124,Anaxyrus hemiophrys
50.2692589664,-98.0815601362,Anaxyrus hemiophrys
50.186891573,-98.3039356847,Anaxyrus hemiophrys
46.7579476582,-96.7904100102,Anaxyrus hemiophrys
50.3183354451,-97.9926151427,Anaxyrus hemiophrys
45.5759388552,-95.8792408928,Anaxyrus hemiophrys
45.835545,-95.72295333,Anaxyrus hemiophrys
50.0129095267,-96.8842128598,Anaxyrus hemiophrys
58.9418793533,-110.7449277072,Anaxyrus hemiophrys
50.7131159725,-97.008467652,Anaxyrus hemiophrys
50.17217167,-97.13181383,Anaxyrus hemiophrys
45.7062140666,-97.4556079042,Anaxyrus hemiophrys
54.54869167,-112.20340833,Anaxyrus hemiophrys
46.35852833,-97.301645,Anaxyrus hemiophrys
46.44687167,-97.40564667,Anaxyrus hemiophrys
45.95171167,-95.42527,Anaxyrus hemiophrys
52.1397879546,-106.6380408667,Anaxyrus hemiophrys
49.975037,-97.006162,Anaxyrus hemiophrys
49.9764135559,-97.0018885963,Anaxyrus hemiophrys
52.7451511426,-110.3602153449,Anaxyrus hemiophrys
50.3069839722,-98.014087,Anaxyrus hemiophrys
50.3629032191,-96.8900611258,Anaxyrus hemiophrys
45.9780471217,-96.2591085249,Anaxyrus hemiophrys
49.22116167,-97.368675,Anaxyrus hemiophrys
49.9445532671,-97.1008895796,Anaxyrus hemiophrys
49.6608116667,-99.268905,Anaxyrus hemiophrys
52.0877055556,-106.7167527778,Anaxyrus hemiophrys
47.90403333,-97.00724167,Anaxyrus hemiophrys
52.3619039862,-110.7285035373,Anaxyrus hemiophrys
46.2726564352,-96.0645816358,Anaxyrus hemiophrys
45.48815833,-98.46318,Anaxyrus hemiophrys
49.9082256414,-96.9841164849,Anaxyrus hemiophrys
45.7794808641,-98.258973026,Anaxyrus hemiophrys
50.12340283,-97.22712833,Anaxyrus hemiophrys
45.7489775695,-98.2401743068,Anaxyrus hemiophrys
46.7665710021,-96.7832626776,Anaxyrus hemiophrys
53.3480824162,-111.5186330304,Anaxyrus hemiophrys
50.9923283333,-96.9278566667,Anaxyrus hemiophrys
50.177045,-97.1302805,Anaxyrus hemiophrys
49.9716985272,-96.9949496992,Anaxyrus hemiophrys
49.9716157221,-96.9947780378,Anaxyrus hemiophrys
50.5658384535,-96.58108299,Anaxyrus hemiophrys
58.3260771808,-116.5770120174,Anaxyrus hemiophrys
52.0268033292,-106.714843969,Anaxyrus hemiophrys
49.7531927275,-97.2124377855,Anaxyrus hemiophrys
46.5252583333,-97.2001638889,Anaxyrus hemiophrys
51.5030133333,-102.6494133333,Anaxyrus hemiophrys
50.17365333,-97.13242217,Anaxyrus hemiophrys
50.1716448333,-97.1319945556,Anaxyrus hemiophrys
46.866221,-96.452869,Anaxyrus hemiophrys
50.1761797208,-97.1294023579,Anaxyrus hemiophrys
46.8673651,-96.4535562,Anaxyrus hemiophrys
50.1745509878,-97.1283288001,Anaxyrus hemiophrys
50.1736160436,-97.134014248,Anaxyrus hemiophrys
45.1260675314,-96.0710911483,Anaxyrus hemiophrys
50.173826,-97.132959,Anaxyrus hemiophrys
49.9436111111,-96.8322222222,Anaxyrus hemiophrys
44.9657887571,-96.9671398327,Anaxyrus hemiophrys
49.9521283388,-98.2984683663,Anaxyrus hemiophrys
52.188365273,-104.3021912432,Anaxyrus hemiophrys
50.17348833,-97.13226383,Anaxyrus hemiophrys
50.30612411,-98.01692072,Anaxyrus hemiophrys
50.30525139,-98.01929617,Anaxyrus hemiophrys
50.17080278,-97.1311147799,Anaxyrus hemiophrys
46.4495023,-97.3120944,Anaxyrus hemiophrys
49.0901144369,-96.1402332855,Anaxyrus hemiophrys
,,Anaxyrus hemiophrys
52.3851970588,-110.5809673643,Anaxyrus hemiophrys
51.0406564511,-106.5019169417,Anaxyrus hemiophrys
50.1706268822,-97.1244655545,Anaxyrus hemiophrys
50.3807505353,-97.95017821,Anaxyrus hemiophrys
53.2255980966,-105.725885426,Anaxyrus hemiophrys
,,Anaxyrus hemiophrys
44.9071489044,-97.1253949016,Anaxyrus hemiophrys
50.5562414261,-96.627356105,Anaxyrus hemiophrys
45.5901908655,-95.9213891253,Anaxyrus hemiophrys
50.2650721059,-98.0813938379,Anaxyrus hemiophrys
45.6510126595,-95.3188666102,Anaxyrus hemiophrys
50.277,-98.075,Anaxyrus hemiophrys
46.8635503,-96.46996282,Anaxyrus hemiophrys
45.4560050074,-96.7194975417,Anaxyrus hemiophrys
45.4274789851,-97.3306398252,Anaxyrus hemiophrys
45.4276973437,-97.3305315842,Anaxyrus hemiophrys
50.176308566,-98.312440712,Anaxyrus hemiophrys
50.26989722,-98.0811344401,Anaxyrus hemiophrys
45.4245159496,-97.3326810889,Anaxyrus hemiophrys
45.45798667,-96.72303,Anaxyrus hemiophrys
47.9248555556,-96.5684805556,Anaxyrus hemiophrys
49.5205849618,-96.4623719081,Anaxyrus hemiophrys
47.3740767263,-95.9097297447,Anaxyrus hemiophrys
51.4167166667,-105.2399883333,Anaxyrus hemiophrys
53.22634167,-105.350555,Anaxyrus hemiophrys
45.7085333333,-97.451255,Anaxyrus hemiophrys
50.3281883333,-97.9769966667,Anaxyrus hemiophrys
56.8792848909,-111.4607818074,Anaxyrus hemiophrys
46.2138490322,-96.1452067804,Anaxyrus hemiophrys
51.8355865479,-100.3220291138,Anaxyrus hemiophrys
51.0826491,-106.6099934,Anaxyrus hemiophrys
51.992149349,-108.2425531812,Anaxyrus hemiophrys
51.03856368,-106.73486702,Anaxyrus hemiophrys
53.9569355,-112.6160234,Anaxyrus hemiophrys
50.1842619722,-98.3776689722,Anaxyrus hemiophrys
49.5834522603,-99.0746188536,Anaxyrus hemiophrys
50.0069444444,-97.1336111111,Anaxyrus hemiophrys
45.2269969722,-96.312616,Anaxyrus hemiophrys
49.9550590515,-96.9735336304,Anaxyrus hemiophrys
51.8510788434,-100.2898986904,Anaxyrus hemiophrys
50.3879,-98.8835,Anaxyrus hemiophrys
51.8379102844,-100.3153855427,Anaxyrus hemiophrys
50.0583849139,-97.1583495111,Anaxyrus hemiophrys
54.492029167,-113.7136858329,Anaxyrus hemiophrys
50.4265472946,-96.6051914281,Anaxyrus hemiophrys
56.8963842731,-111.1983595043,Anaxyrus hemiophrys
51.1203446685,-106.5969025344,Anaxyrus hemiophrys
45.0525165265,-95.8884076774,Anaxyrus hemiophrys
49.945275765,-96.7719215435,Anaxyrus hemiophrys
50.6940980829,-96.9974510933,Anaxyrus hemiophrys
,,Anaxyrus hemiophrys
52.580634,-110.0118779722,Anaxyrus hemiophrys
46.23827,-98.02123333,Anaxyrus hemiophrys
50.1691,-97.1116,Anaxyrus hemiophrys
45.0525108418,-95.8884076774,Anaxyrus hemiophrys
55.1143388333,-107.8265383333,Anaxyrus hemiophrys
47.9476778349,-97.3300313205,Anaxyrus hemiophrys
54.2573283416,-105.992775401,Anaxyrus hemiophrys
57.1329195,-111.6950383333,Anaxyrus hemiophrys
51.0207583333,-106.4797583333,Anaxyrus hemiophrys
,,Anaxyrus hemiophrys
47.9360603723,-97.5113530084,Anaxyrus hemiophrys
46.29105584,-96.63872819,Anaxyrus hemiophrys
50.173238366,-97.1341741164,Anaxyrus hemiophrys
50.1739898294,-97.1365594834,Anaxyrus hemiophrys
47.4980394366,-97.3245354742,Anaxyrus hemiophrys
45.0525108,-95.8884076,Anaxyrus hemiophrys
44.8982833,-97.0875979,Anaxyrus hemiophrys
46.8391041365,-96.7840534263,Anaxyrus hemiophrys
,,Anaxyrus hemiophrys
46.8663599482,-96.4530012757,Anaxyrus hemiophrys
46.8664431805,-96.4528885392,Anaxyrus hemiophrys
53.3478028144,-111.5189253911,Anaxyrus hemiophrys
48.5565416667,-97.1824116667,Anaxyrus hemiophrys
52.0311406601,-106.7063850266,Anaxyrus hemiophrys
53.9481480763,-113.5866198689,Anaxyrus hemiophrys
50.716325,-96.986055,Anaxyrus hemiophrys
50.1555775898,-97.2134805098,Anaxyrus hemiophrys
48.0347777778,-97.3415444444,Anaxyrus hemiophrys
50.3811366667,-97.9506883333,Anaxyrus hemiophrys
49.826219,-98.2782849722,Anaxyrus hemiophrys
55.2679662605,-114.786963053,Anaxyrus hemiophrys
50.3194361111,-97.9904861111,Anaxyrus hemiophrys
44.4288601076,-97.1619583739,Anaxyrus hemiophrys
57.3377085068,-111.1571858232,Anaxyrus hemiophrys
51.9797084,-106.7160526,Anaxyrus hemiophrys
49.651187946,-99.2584220359,Anaxyrus hemiophrys
49.6489207259,-99.2567379988,Anaxyrus hemiophrys
49.3257199376,-100.9906302698,Anaxyrus hemiophrys
49.6517512946,-99.2584682633,Anaxyrus hemiophrys
49.6802630657,-100.6784482179,Anaxyrus hemiophrys
54.2688940124,-110.9180464804,Anaxyrus hemiophrys
46.881533,-96.776497,Anaxyrus hemiophrys
47.974224083,-97.2606305732,Anaxyrus hemiophrys
46.86223,-96.46982,Anaxyrus hemiophrys
46.862707,-96.468425,Anaxyrus hemiophrys
50.141724106,-97.3242980988,Anaxyrus hemiophrys
45.17672056,-96.06209304,Anaxyrus hemiophrys
47.0002519283,-96.8472739689,Anaxyrus hemiophrys
46.2383833333,-98.0209055,Anaxyrus hemiophrys
46.2641724129,-96.0630910614,Anaxyrus hemiophrys
50.1787504368,-97.1337583782,Anaxyrus hemiophrys
50.5722918434,-96.5938120413,Anaxyrus hemiophrys
46.8619466667,-96.4693,Anaxyrus hemiophrys
51.0079971287,-100.0560707835,Anaxyrus hemiophrys
47.752475,-97.4065866667,Anaxyrus hemiophrys
48.9331541576,-96.7102969406,Anaxyrus hemiophrys
48.933297685,-96.7115105487,Anaxyrus hemiophrys
,,Anaxyrus hemiophrys
52.1312221667,-107.2245716667,Anaxyrus hemiophrys
46.7669171155,-97.4934154004,Anaxyrus hemiophrys
49.797025,-99.648197,Anaxyrus hemiophrys
49.772458,-99.636702,Anaxyrus hemiophrys
49.2813404115,-100.9723406889,Anaxyrus hemiophrys
52.1440599925,-106.6423810646,Anaxyrus hemiophrys
46.5489729062,-96.3860854528,Anaxyrus hemiophrys
47.5230212174,-97.6866961172,Anaxyrus hemiophrys
47.5496014661,-97.629878844,Anaxyrus hemiophrys
44.5951574082,-97.1231055663,Anaxyrus hemiophrys
49.8224976416,-99.6078810453,Anaxyrus hemiophrys
48.0064655687,-96.3099228025,Anaxyrus hemiophrys
49.9448101083,-96.7716857606,Anaxyrus hemiophrys
49.8081033333,-99.60253,Anaxyrus hemiophrys
47.7525527778,-97.4066694444,Anaxyrus hemiophrys
45.1741294997,-96.0626074997,Anaxyrus hemiophrys
51.0326745209,-106.476091252,Anaxyrus hemiophrys
50.5992866667,-96.944755,Anaxyrus hemiophrys
49.8205299722,-97.1567579722,Anaxyrus hemiophrys
60.1879520818,-112.9685122956,Anaxyrus hemiophrys
47.5011489977,-97.3424291476,Anaxyrus hemiophrys
47.7524616667,-97.407045,Anaxyrus hemiophrys
49.0889198,-97.99532,Anaxyrus hemiophrys
47.91313,-97.0233833333,Anaxyrus hemiophrys
44.9192619324,-97.0453872681,Anaxyrus hemiophrys
48.0204962863,-97.073318659,Anaxyrus hemiophrys
50.3876073313,-99.0901386507,Anaxyrus hemiophrys
50.14077149,-97.3240801584,Anaxyrus hemiophrys
